time,open,high,low,close
1641191400,3.024,3.024,3.024,3.024
1641193200,3,3.012,2.944,2.946
1641195000,2.944,3.002,2.944,3.002
1641196800,3.002,3.04,2.996,3.038
1641198600,3.038,3.04,3.014,3.022
1641200400,3.026,3.026,3.014,3.018
1641202200,3.022,3.04,3.022,3.04
1641204000,3.042,3.05,3.034,3.044
1641205800,3.044,3.072,3.04,3.064
1641207600,3.064,3.064,3.03,3.04
1641209400,3.04,3.07,3.038,3.06
1641211200,3.06,3.06,3.04,3.048
1641213000,3.044,3.06,3.044,3.052
1641214800,3.052,3.066,3.05,3.054
1641216600,3.054,3.06,3.036,3.052
1641218400,3.05,3.054,3.04,3.05
1641220200,3.05,3.05,3.038,3.046
1641222000,3.044,3.044,3.044,3.044
1641277800,3.046,3.046,3.046,3.046
1641279600,3.046,3.048,3.01,3.022
1641281400,3.02,3.048,3.016,3.048
1641283200,3.05,3.08,3.046,3.076
1641285000,3.066,3.118,3.066,3.118
1641286800,3.118,3.126,3.076,3.09
1641288600,3.088,3.1,3.076,3.08
1641290400,3.078,3.092,3.078,3.08
1641292200,3.08,3.084,3.064,3.066
1641294000,3.064,3.086,3.062,3.074
1641295800,3.072,3.074,3.054,3.062
1641297600,3.062,3.08,3.054,3.062
1641299400,3.064,3.07,3.018,3.03
1641301200,3.028,3.034,2.99,3.01
1641303000,3.01,3.01,2.96,2.97
1641304800,2.97,2.994,2.954,2.98
1641306600,2.98,2.992,2.964,2.97
1641308400,2.974,2.974,2.974,2.974
1641364200,2.984,2.984,2.984,2.984
1641366000,2.982,3.004,2.968,2.998
1641367800,2.996,3.018,2.992,2.998
1641369600,2.996,3.046,2.99,3.038
1641371400,3.042,3.066,3.016,3.062
1641373200,3.06,3.07,3.056,3.06
1641375000,3.058,3.066,3.036,3.048
1641376800,3.048,3.056,3.036,3.038
1641378600,3.036,3.052,3.032,3.05
1641380400,3.046,3.056,3.036,3.04
1641382200,3.036,3.054,3.034,3.046
1641384000,3.046,3.06,3.022,3.04
1641385800,3.04,3.05,3.018,3.026
1641387600,3.022,3.04,3.018,3.038
1641389400,3.04,3.04,3.018,3.018
1641391200,3.02,3.022,3.01,3.01
1641393000,3.012,3.038,3.01,3.03
1641394800,3.036,3.036,3.036,3.036
1641450600,3.022,3.022,3.022,3.022
1641452400,3.02,3.046,3.004,3.014
1641454200,3.014,3.034,3.006,3.012
1641456000,3.012,3.028,3.008,3.008
1641457800,3.012,3.014,2.992,3.012
1641459600,3.012,3.028,3.008,3.014
1641461400,3.014,3.022,3.01,3.014
1641463200,3.014,3.014,3,3.012
