time,open,high,low,close
1641191400,7.2,7.2,7.2,7.2
1641193200,7.2,7.26,7.18,7.19
1641195000,7.18,7.27,7.18,7.25
1641196800,7.26,7.3,7.24,7.26
1641198600,7.27,7.31,7.25,7.28
1641200400,7.28,7.31,7.28,7.3
1641202200,7.31,7.31,7.29,7.3
1641204000,7.31,7.32,7.28,7.3
1641205800,7.3,7.31,7.28,7.29
1641207600,7.29,7.34,7.29,7.34
1641209400,7.33,7.37,7.3,7.32
1641211200,7.32,7.32,7.31,7.31
1641213000,7.31,7.32,7.28,7.29
1641214800,7.29,7.3,7.28,7.29
1641216600,7.29,7.31,7.28,7.29
1641218400,7.3,7.31,7.28,7.29
1641220200,7.29,7.33,7.28,7.32
1641222000,7.33,7.33,7.33,7.33
1641277800,7.33,7.33,7.33,7.33
1641279600,7.34,7.41,7.31,7.41
1641281400,7.41,7.44,7.38,7.43
1641283200,7.43,7.44,7.39,7.4
1641285000,7.4,7.43,7.38,7.4
1641286800,7.4,7.41,7.38,7.4
1641288600,7.4,7.4,7.35,7.36
1641290400,7.37,7.4,7.36,7.4
1641292200,7.39,7.41,7.36,7.37
1641294000,7.37,7.38,7.35,7.37
1641295800,7.38,7.38,7.33,7.34
1641297600,7.35,7.35,7.32,7.33
1641299400,7.32,7.33,7.17,7.23
1641301200,7.22,7.26,7.18,7.26
1641303000,7.25,7.26,7.2,7.22
1641304800,7.22,7.26,7.18,7.25
1641306600,7.25,7.28,7.22,7.26
1641308400,7.27,7.27,7.27,7.27
1641364200,7.27,7.27,7.27,7.27
1641366000,7.27,7.3,7.24,7.26
1641367800,7.27,7.27,7.23,7.24
1641369600,7.24,7.26,7.21,7.25
1641371400,7.24,7.31,7.24,7.29
1641373200,7.29,7.31,7.27,7.28
1641375000,7.28,7.29,7.24,7.26
1641376800,7.26,7.26,7.24,7.26
1641378600,7.26,7.27,7.25,7.26
1641380400,7.26,7.28,7.25,7.28
1641382200,7.28,7.29,7.26,7.28
1641384000,7.27,7.28,7.26,7.27
1641385800,7.27,7.27,7.26,7.27
1641387600,7.27,7.29,7.26,7.29
1641389400,7.29,7.29,7.26,7.26
1641391200,7.26,7.31,7.26,7.3
1641393000,7.29,7.35,7.29,7.35
1641394800,7.34,7.34,7.34,7.34
1641450600,7.28,7.28,7.28,7.28
1641452400,7.27,7.33,7.25,7.33
1641454200,7.32,7.35,7.31,7.33
1641456000,7.33,7.36,7.32,7.32
1641457800,7.32,7.34,7.31,7.33
1641459600,7.33,7.4,7.33,7.38
1641461400,7.37,7.4,7.37,7.37
1641463200,7.37,7.39,7.33,7.35
1641465000,7.35,7.37,7.35,7.35
1641466800,7.35,7.36,7.32,7.32
1641468600,7.33,7.36,7.32,7.34
1641470400,7.34,7.35,7.33,7.34
1641472200,7.34,7.36,7.33,7.34
1641474000,7.35,7.36,7.33,7.35
1641475800,7.34,7.35,7.32,7.34
1641477600,7.33,7.35,7.32,7.32
1641479400,7.33,7.34,7.32,7.32
1641481200,7.32,7.32,7.32,7.32
1641537000,7.35,7.35,7.35,7.35
1641538800,7.35,7.37,7.35,7.36
1641540600,7.35,7.41,7.35,7.41
1641542400,7.41,7.55,7.4,7.52
1641544200,7.53,7.55,7.5,7.52
1641546000,7.53,7.54,7.51,7.53
1641547800,7.53,7.54,7.52,7.53
1641549600,7.53,7.54,7.48,7.51
1641551400,7.51,7.59,7.49,7.58
1641553200,7.57,7.58,7.48,7.5
1641555000,7.49,7.51,7.43,7.5
1641556800,7.5,7.5,7.46,7.46
1641558600,7.47,7.48,7.43,7.46
1641560400,7.47,7.48,7.44,7.48
1641562200,7.48,7.5,7.42,7.5
1641564000,7.5,7.54,7.49,7.52
1641565800,7.52,7.62,7.51,7.6
1641567600,7.62,7.62,7.62,7.62
1641796200,7.72,7.72,7.72,7.72
1641798000,7.72,7.81,7.72,7.77
1641799800,7.76,7.78,7.73,7.73
1641801600,7.74,7.75,7.72,7.74
1641803400,7.74,7.75,7.71,7.71
1641805200,7.71,7.73,7.67,7.72
1641807000,7.72,7.73,7.69,7.69
1641808800,7.69,7.74,7.69,7.74
1641810600,7.73,7.75,7.73,7.74
1641812400,7.73,7.75,7.72,7.73
1641814200,7.73,7.73,7.71,7.73
1641816000,7.72,7.75,7.72,7.72
1641817800,7.73,7.75,7.72,7.74
1641819600,7.74,7.74,7.73,7.74
1641821400,7.74,7.74,7.72,7.73
1641823200,7.72,7.73,7.69,7.71
1641825000,7.7,7.72,7.63,7.63
1641826800,7.58,7.58,7.58,7.58
1641882600,7.64,7.64,7.64,7.64
1641884400,7.64,7.65,7.55,7.55
1641886200,7.55,7.58,7.5,7.56
1641888000,7.56,7.58,7.54,7.55
1641889800,7.56,7.57,7.51,7.52
1641891600,7.52,7.52,7.49,7.51
1641893400,7.51,7.54,7.5,7.54
1641895200,7.54,7.57,7.54,7.56
1641897000,7.57,7.57,7.54,7.56
1641898800,7.56,7.57,7.54,7.55
1641900600,7.56,7.6,7.55,7.59
1641902400,7.59,7.69,7.59,7.66
1641904200,7.67,7.74,7.66,7.69
1641906000,7.7,7.71,7.65,7.67
1641907800,7.67,7.68,7.64,7.65
1641909600,7.65,7.66,7.61,7.66
1641911400,7.66,7.66,7.59,7.61
1641913200,7.61,7.61,7.61,7.61
1641969000,7.68,7.68,7.68,7.68
1641970800,7.68,7.7,7.66,7.67
1641972600,7.68,7.69,7.66,7.67
1641974400,7.67,7.68,7.65,7.65
1641976200,7.65,7.66,7.62,7.64
1641978000,7.64,7.65,7.62,7.64
1641979800,7.63,7.64,7.62,7.63
1641981600,7.64,7.64,7.62,7.63
1641983400,7.63,7.65,7.62,7.64
1641985200,7.64,7.65,7.62,7.62
1641987000,7.62,7.64,7.61,7.64
1641988800,7.64,7.64,7.61,7.63
1641990600,7.63,7.64,7.61,7.63
1641992400,7.62,7.63,7.62,7.63
1641994200,7.62,7.65,7.62,7.65
1641996000,7.65,7.65,7.62,7.64
1641997800,7.64,7.66,7.62,7.64
1641999600,7.63,7.63,7.63,7.63
1642055400,7.63,7.63,7.63,7.63
1642057200,7.62,7.66,7.61,7.63
1642059000,7.64,7.67,7.63,7.66
1642060800,7.66,7.68,7.64,7.65
1642062600,7.65,7.66,7.61,7.63
1642064400,7.63,7.64,7.62,7.62
1642066200,7.62,7.64,7.62,7.64
1642068000,7.63,7.65,7.62,7.64
1642069800,7.64,7.65,7.63,7.64
1642071600,7.64,7.64,7.62,7.63
1642073400,7.63,7.64,7.62,7.64
1642075200,7.63,7.65,7.62,7.64
1642077000,7.64,7.64,7.62,7.62
1642078800,7.62,7.63,7.6,7.61
1642080600,7.6,7.61,7.58,7.58
1642082400,7.59,7.59,7.56,7.58
1642084200,7.57,7.59,7.55,7.55
1642086000,7.56,7.56,7.56,7.56
1642141800,7.57,7.57,7.57,7.57
1642143600,7.57,7.58,7.52,7.53
1642145400,7.52,7.53,7.49,7.5
1642147200,7.5,7.51,7.46,7.5
1642149000,7.5,7.51,7.48,7.49
1642150800,7.49,7.51,7.48,7.5
1642152600,7.5,7.51,7.49,7.5
1642154400,7.49,7.5,7.47,7.49
1642156200,7.49,7.54,7.49,7.54
1642158000,7.53,7.55,7.52,7.53
1642159800,7.52,7.53,7.5,7.51
1642161600,7.5,7.52,7.49,7.5
1642163400,7.49,7.5,7.48,7.49
1642165200,7.49,7.5,7.47,7.49
1642167000,7.48,7.51,7.48,7.5
1642168800,7.49,7.54,7.49,7.53
1642170600,7.53,7.54,7.51,7.52
1642172400,7.51,7.51,7.51,7.51
1642401000,7.66,7.66,7.66,7.66
1642402800,7.66,7.67,7.58,7.61
1642404600,7.62,7.62,7.59,7.61
1642406400,7.61,7.62,7.59,7.61
1642408200,7.61,7.61,7.58,7.59
1642410000,7.59,7.6,7.58,7.59
1642411800,7.59,7.6,7.58,7.58
1642413600,7.59,7.6,7.58,7.59
1642415400,7.59,7.63,7.59,7.61
1642417200,7.61,7.62,7.59,7.62
1642419000,7.62,7.63,7.6,7.63
1642420800,7.63,7.66,7.62,7.65
1642422600,7.65,7.71,7.65,7.68
1642424400,7.69,7.71,7.67,7.68
1642426200,7.68,7.72,7.67,7.71
1642428000,7.71,7.77,7.71,7.74
1642429800,7.74,7.76,7.73,7.74
1642431600,7.75,7.75,7.75,7.75
1642487400,7.74,7.74,7.74,7.74
1642489200,7.74,7.76,7.66,7.7
1642491000,7.7,7.79,7.67,7.78
1642492800,7.77,7.79,7.71,7.73
1642494600,7.73,7.75,7.72,7.73
1642496400,7.72,7.73,7.68,7.72
1642498200,7.71,7.75,7.69,7.74
1642500000,7.73,7.79,7.72,7.78
1642501800,7.78,7.82,7.77,7.81
1642503600,7.81,7.81,7.75,7.78
1642505400,7.79,7.86,7.78,7.82
1642507200,7.82,7.85,7.81,7.84
1642509000,7.85,7.87,7.84,7.84
1642510800,7.85,7.85,7.76,7.78
1642512600,7.78,7.84,7.75,7.81
1642514400,7.8,7.81,7.48,7.55
1642516200,7.55,7.55,7.4,7.41
1642573800,7.47,7.47,7.47,7.47
1642575600,7.47,7.62,7.47,7.59
1642577400,7.59,7.61,7.52,7.55
1642579200,7.54,7.58,7.53,7.56
1642581000,7.56,7.58,7.53,7.55
1642582800,7.55,7.57,7.5,7.53
1642584600,7.53,7.56,7.52,7.54
1642586400,7.54,7.58,7.54,7.55
1642588200,7.55,7.57,7.49,7.5
1642590000,7.5,7.53,7.43,7.51
1642591800,7.52,7.59,7.51,7.58
1642593600,7.58,7.58,7.54,7.56
1642595400,7.56,7.65,7.56,7.64
1642597200,7.65,7.75,7.64,7.71
1642599000,7.7,7.79,7.69,7.76
1642600800,7.75,7.82,7.75,7.78
1642602600,7.77,7.85,7.76,7.85
1642604400,7.85,7.88,7.85,7.88
1642660200,7.95,7.95,7.95,7.95
1642662000,7.96,7.98,7.91,7.93
1642663800,7.93,7.96,7.9,7.95
1642665600,7.95,7.96,7.87,7.9
1642667400,7.9,7.95,7.89,7.94
1642669200,7.93,7.96,7.91,7.96
1642671000,7.96,7.96,7.9,7.93
1642672800,7.93,8,7.91,7.97
1642674600,7.97,7.98,7.95,7.97
1642676400,7.98,8.03,7.93,7.99
1642678200,7.99,8,7.7,7.75
1642680000,7.74,7.86,7.63,7.86
1642681800,7.85,7.86,7.77,7.79
1642683600,7.79,7.87,7.76,7.85
1642685400,7.85,7.89,7.82,7.87
1642687200,7.88,7.88,7.69,7.7
1642689000,7.69,7.87,7.67,7.85
1642690800,7.84,7.84,7.84,7.84
1642746600,7.81,7.81,7.81,7.81
1642748400,7.8,7.84,7.76,7.78
1642750200,7.79,7.83,7.78,7.82
1642752000,7.81,7.86,7.8,7.84
1642753800,7.85,7.85,7.75,7.78
1642755600,7.78,7.83,7.78,7.82
1642757400,7.82,7.85,7.8,7.83
1642759200,7.83,7.87,7.79,7.86
1642761000,7.86,7.88,7.84,7.85
1642762800,7.84,7.85,7.73,7.79
1642764600,7.79,7.8,7.74,7.78
1642766400,7.78,7.8,7.75,7.8
