time,open,high,low,close
1641191400,10.49,10.49,10.49,10.49
1641193200,10.49,10.59,10.42,10.44
1641195000,10.45,10.65,10.44,10.63
1641196800,10.63,10.75,10.6,10.68
1641198600,10.68,10.74,10.64,10.67
1641200400,10.67,10.76,10.66,10.75
1641202200,10.75,10.77,10.7,10.77
1641204000,10.76,10.8,10.71,10.75
1641205800,10.75,10.81,10.72,10.74
1641207600,10.74,10.75,10.6,10.64
1641209400,10.64,10.71,10.59,10.68
1641211200,10.68,10.72,10.66,10.7
1641213000,10.69,10.71,10.64,10.66
1641214800,10.65,10.76,10.65,10.75
1641216600,10.75,10.78,10.62,10.67
1641218400,10.68,10.73,10.65,10.7
1641220200,10.7,10.9,10.7,10.9
1641222000,10.9,10.9,10.9,10.9
1641277800,11.01,11.01,11.01,11.01
1641279600,11.01,11.19,10.96,11.17
1641281400,11.17,11.3,11.12,11.25
1641283200,11.25,11.37,11.17,11.33
1641285000,11.32,11.39,11.28,11.3
1641286800,11.3,11.3,11.21,11.28
1641288600,11.28,11.29,11.19,11.21
1641290400,11.2,11.31,11.18,11.28
1641292200,11.29,11.33,11.18,11.21
1641294000,11.21,11.27,11.19,11.25
1641295800,11.26,11.27,11.2,11.22
1641297600,11.21,11.25,11.21,11.21
1641299400,11.2,11.22,10.92,11.09
1641301200,11.08,11.13,10.95,11.11
1641303000,11.11,11.11,11,11.04
1641304800,11.04,11.11,10.98,11.1
1641306600,11.1,11.26,11.03,11.26
1641308400,11.26,11.26,11.25,11.25
1641364200,11.26,11.26,11.26,11.26
1641366000,11.26,11.27,11.06,11.19
1641367800,11.18,11.21,11.13,11.13
1641369600,11.13,11.19,11.1,11.13
1641371400,11.13,11.21,11.12,11.18
1641373200,11.17,11.24,11.17,11.19
1641375000,11.19,11.24,11.15,11.16
1641376800,11.16,11.18,11.09,11.12
1641378600,11.11,11.17,11.1,11.16
1641380400,11.16,11.23,11.15,11.21
1641382200,11.2,11.2,11.17,11.2
1641384000,11.2,11.24,11.18,11.23
1641385800,11.23,11.44,11.21,11.42
1641387600,11.42,11.52,11.4,11.49
1641389400,11.49,11.5,11.38,11.46
1641391200,11.47,11.54,11.45,11.51
1641393000,11.5,11.55,11.45,11.5
1641394800,11.51,11.51,11.51,11.51
1641450600,11.38,11.38,11.38,11.38
1641452400,11.39,11.65,11.34,11.62
1641454200,11.62,11.64,11.55,11.61
1641456000,11.61,11.68,11.58,11.58
1641457800,11.59,11.62,11.49,11.59
1641459600,11.6,11.74,11.58,11.72
1641461400,11.72,11.79,11.67,11.76
1641463200,11.77,11.88,11.74,11.79
1641465000,11.8,11.85,11.78,11.79
1641466800,11.8,11.8,11.72,11.76
1641468600,11.76,11.83,11.75,11.76
1641470400,11.76,11.79,11.74,11.75
1641472200,11.75,11.79,11.71,11.76
1641474000,11.76,11.81,11.71,11.74
1641475800,11.73,11.76,11.68,11.74
1641477600,11.73,11.75,11.64,11.67
1641479400,11.67,11.72,11.61,11.64
1641481200,11.63,11.63,11.63,11.63
1641537000,11.73,11.73,11.73,11.73
1641538800,11.74,11.84,11.73,11.83
1641540600,11.84,11.84,11.76,11.78
1641542400,11.78,11.8,11.64,11.7
