time,open,high,low,close
1641191400,30.95,30.95,30.95,30.95
1641193200,30.95,31.85,30.9,31.475
1641195000,31.475,31.825,31.45,31.725
1641196800,31.725,31.95,31.65,31.775
1641198600,31.8,31.95,31.7,31.925
1641200400,31.95,32.025,31.9,31.975
1641202200,31.975,32.175,31.95,32.175
1641204000,32.15,32.3,31.925,32.1
1641205800,32.1,32.175,32,32.175
1641207600,32.175,32.2,31.825,31.9
1641209400,31.9,31.975,31.8,31.9
1641211200,31.9,32.025,31.8,31.925
1641213000,31.95,32,31.85,31.975
1641214800,31.975,32,31.875,31.975
1641216600,31.95,32,31.8,31.85
1641218400,31.85,31.95,31.85,31.9
1641220200,31.9,32.125,31.875,32.1
1641222000,32.225,32.225,32.225,32.225
1641277800,32.5,32.5,32.5,32.5
1641279600,32.525,33.075,32.525,32.85
1641281400,32.85,32.95,32.8,32.875
1641283200,32.9,32.925,32.725,32.725
1641285000,32.725,33.3,32.6,33.275
1641286800,33.275,33.5,33.2,33.45
1641288600,33.475,33.675,33.35,33.425
1641290400,33.425,33.575,33.35,33.425
1641292200,33.425,33.5,33.2,33.3
1641294000,33.3,33.55,33.225,33.525
1641295800,33.5,33.55,33.325,33.425
1641297600,33.4,33.625,33.4,33.5
1641299400,33.5,33.575,32.8,33.125
1641301200,33.125,33.2,32.675,33.2
1641303000,33.225,33.3,32.875,33.025
1641304800,33.025,33.25,32.8,33.25
1641306600,33.25,33.75,33.075,33.75
1641308400,33.85,33.85,33.85,33.85
1641364200,34.25,34.25,34.25,34.25
1641366000,34.275,34.85,33.95,34.5
1641367800,34.5,34.725,34.4,34.425
1641369600,34.45,34.475,34.175,34.225
1641371400,34.2,34.55,34.2,34.375
1641373200,34.375,34.575,34.325,34.4
1641375000,34.375,34.475,34.325,34.35
1641376800,34.375,34.4,34.1,34.1
1641378600,34.1,34.275,34.05,34.275
1641380400,34.275,34.35,34.225,34.275
1641382200,34.275,34.3,34.175,34.2
1641384000,34.2,34.3,34.15,34.25
1641385800,34.25,34.3,34.175,34.25
1641387600,34.25,34.65,34.25,34.625
1641389400,34.625,34.65,34.375,34.475
1641391200,34.475,34.675,34.475,34.6
1641393000,34.575,34.675,34.475,34.675
1641394800,34.675,34.675,34.65,34.65
1641450600,34.25,34.25,34.25,34.25
1641452400,34.225,34.8,34.05,34.7
1641454200,34.675,34.725,34.475,34.65
1641456000,34.65,34.775,34.575,34.625
1641457800,34.625,34.775,34.525,34.65
1641459600,34.625,34.65,34.55,34.6
1641461400,34.6,34.625,34.45,34.5
1641463200,34.475,34.5,34.3,34.425
1641465000,34.45,34.575,34.375,34.575
1641466800,34.575,34.575,34.375,34.425
1641468600,34.425,34.6,34.4,34.55
1641470400,34.55,34.65,34.475,34.525
1641472200,34.55,34.6,34.475,34.525
1641474000,34.525,34.575,34.375,34.425
1641475800,34.425,34.525,34.375,34.5
1641477600,34.475,34.575,34.425,34.475
1641479400,34.475,34.7,34.325,34.7
1641481200,34.475,34.475,34.475,34.475
1641537000,34.8,34.8,34.8,34.8
1641538800,34.8,35.225,34.8,35.175
1641540600,35.2,35.25,34.85,34.95
1641542400,34.95,35,34.725,34.9
1641544200,34.9,34.95,34.8,34.9
1641546000,34.9,35.025,34.875,34.925
1641547800,34.95,35.05,34.95,35
