time,open,high,low,close
1641191400,2.16,2.16,2.16,2.16
1641193200,2.16,2.17,2.14,2.15
1641195000,2.15,2.2,2.14,2.19
1641196800,2.19,2.19,2.18,2.19
1641198600,2.19,2.19,2.17,2.18
1641200400,2.17,2.19,2.17,2.19
1641202200,2.19,2.19,2.18,2.19
1641204000,2.19,2.19,2.18,2.19
1641205800,2.19,2.19,2.18,2.19
1641207600,2.19,2.2,2.18,2.19
1641209400,2.2,2.22,2.19,2.21
1641211200,2.21,2.22,2.21,2.21
1641213000,2.21,2.22,2.2,2.21
1641214800,2.2,2.21,2.2,2.2
1641216600,2.21,2.21,2.19,2.19
1641218400,2.2,2.21,2.19,2.2
1641220200,2.2,2.23,2.2,2.23
1641222000,2.23,2.23,2.23,2.23
1641277800,2.24,2.24,2.24,2.24
1641279600,2.25,2.26,2.24,2.25
1641281400,2.25,2.27,2.25,2.27
1641283200,2.27,2.27,2.25,2.26
1641285000,2.26,2.26,2.25,2.26
1641286800,2.26,2.26,2.25,2.26
1641288600,2.25,2.26,2.25,2.25
1641290400,2.25,2.27,2.25,2.27
1641292200,2.26,2.27,2.26,2.26
1641294000,2.26,2.27,2.26,2.26
1641295800,2.26,2.27,2.26,2.27
1641297600,2.27,2.29,2.26,2.28
1641299400,2.28,2.28,2.22,2.24
1641301200,2.23,2.24,2.21,2.23
1641303000,2.23,2.24,2.22,2.24
1641304800,2.24,2.24,2.22,2.24
1641306600,2.24,2.26,2.23,2.26
1641308400,2.26,2.26,2.26,2.26
1641364200,2.26,2.26,2.26,2.26
1641366000,2.25,2.27,2.24,2.26
1641367800,2.26,2.26,2.25,2.26
1641369600,2.26,2.26,2.25,2.26
1641371400,2.25,2.26,2.25,2.26
1641373200,2.26,2.27,2.25,2.26
1641375000,2.26,2.26,2.24,2.24
1641376800,2.24,2.24,2.23,2.23
1641378600,2.24,2.25,2.23,2.24
1641380400,2.24,2.25,2.23,2.25
1641382200,2.25,2.25,2.24,2.25
1641384000,2.25,2.25,2.24,2.24
1641385800,2.24,2.25,2.24,2.25
1641387600,2.25,2.26,2.24,2.26
1641389400,2.26,2.26,2.25,2.26
1641391200,2.26,2.28,2.25,2.28
1641393000,2.28,2.3,2.27,2.3
1641394800,2.29,2.29,2.29,2.29
1641450600,2.27,2.27,2.27,2.27
1641452400,2.27,2.29,2.26,2.28
1641454200,2.28,2.29,2.28,2.29
1641456000,2.29,2.3,2.28,2.29
1641457800,2.29,2.3,2.28,2.29
1641459600,2.28,2.29,2.28,2.29
1641461400,2.28,2.3,2.28,2.3
1641463200,2.3,2.31,2.28,2.29
1641465000,2.28,2.29,2.28,2.29
1641466800,2.28,2.29,2.26,2.27
1641468600,2.28,2.28,2.26,2.27
1641470400,2.26,2.28,2.26,2.27
1641472200,2.27,2.28,2.26,2.27
1641474000,2.27,2.28,2.26,2.27
1641475800,2.27,2.29,2.27,2.29
1641477600,2.29,2.29,2.27,2.28
1641479400,2.28,2.28,2.26,2.28
1641481200,2.26,2.26,2.26,2.26
1641537000,2.28,2.28,2.28,2.28
1641538800,2.28,2.28,2.27,2.28
1641540600,2.28,2.28,2.27,2.28
1641542400,2.28,2.3,2.28,2.29
1641544200,2.3,2.32,2.28,2.31
1641546000,2.32,2.32,2.3,2.3
1641547800,2.3,2.32,2.3,2.31
1641549600,2.32,2.32,2.31,2.31
