time,open,high,low,close
1641191400,14.25,14.25,14.25,14.25
1641193200,14.26,14.3,14.13,14.2
1641195000,14.2,14.3,14.19,14.29
1641196800,14.28,14.46,14.27,14.4
1641198600,14.4,14.49,14.37,14.41
1641200400,14.42,14.47,14.37,14.46
1641202200,14.45,14.48,14.42,14.47
1641204000,14.48,14.48,14.39,14.43
1641205800,14.43,14.44,14.38,14.4
1641207600,14.4,14.41,14.26,14.29
1641209400,14.29,14.35,14.26,14.3
1641211200,14.31,14.36,14.3,14.34
1641213000,14.34,14.38,14.31,14.35
1641214800,14.35,14.38,14.32,14.37
1641216600,14.36,14.38,14.29,14.36
1641218400,14.35,14.43,14.33,14.38
1641220200,14.38,14.59,14.37,14.59
1641222000,14.62,14.62,14.62,14.62
1641277800,14.78,14.78,14.78,14.78
1641279600,14.79,15.02,14.69,14.99
1641281400,14.99,15.1,14.92,15.07
1641283200,15.08,15.16,15.05,15.09
1641285000,15.08,15.19,15.06,15.12
1641286800,15.13,15.15,15.04,15.09
1641288600,15.1,15.15,15.04,15.05
1641290400,15.04,15.12,15.03,15.08
1641292200,15.08,15.09,14.95,14.98
1641294000,14.98,15.07,14.96,15.06
1641295800,15.05,15.07,14.99,15.03
1641297600,15.03,15.08,15.02,15.03
1641299400,15.04,15.04,14.75,14.88
1641301200,14.88,14.9,14.68,14.89
1641303000,14.89,14.9,14.74,14.81
1641304800,14.81,14.9,14.77,14.9
1641306600,14.9,15.06,14.83,15.04
1641308400,15.11,15.11,15.11,15.11
1641364200,15.11,15.11,15.11,15.11
1641366000,15.11,15.11,14.92,15.07
1641367800,15.07,15.09,14.99,15
1641369600,15,15.01,14.92,14.93
1641371400,14.92,15.04,14.92,15
1641373200,15,15.08,14.97,15.02
1641375000,15.02,15.05,14.96,14.97
1641376800,14.97,14.99,14.92,14.95
1641378600,14.95,14.98,14.83,14.94
1641380400,14.94,14.97,14.9,14.93
1641382200,14.93,14.95,14.91,14.94
1641384000,14.94,14.98,14.91,14.97
1641385800,14.97,14.97,14.9,14.95
1641387600,14.95,15.05,14.94,15.04
1641389400,15.04,15.08,14.95,15.01
1641391200,15.02,15.24,15.02,15.18
1641393000,15.18,15.5,15.18,15.45
1641394800,15.43,15.43,15.43,15.43
1641450600,15.25,15.25,15.25,15.25
1641452400,15.25,15.45,15.12,15.42
1641454200,15.42,15.43,15.27,15.35
1641456000,15.35,15.49,15.34,15.36
1641457800,15.36,15.4,15.27,15.34
1641459600,15.35,15.37,15.3,15.34
1641461400,15.34,15.36,15.24,15.29
1641463200,15.28,15.33,15.15,15.25
1641465000,15.25,15.29,15.23,15.24
1641466800,15.24,15.25,15.17,15.21
1641468600,15.22,15.32,15.2,15.22
1641470400,15.22,15.36,15.21,15.29
1641472200,15.29,15.34,15.27,15.33
1641474000,15.34,15.38,15.27,15.3
1641475800,15.3,15.34,15.24,15.33
1641477600,15.32,15.35,15.25,15.29
1641479400,15.29,15.3,15.17,15.2
1641481200,15.19,15.19,15.1,15.1
1641537000,15.25,15.25,15.25,15.25
1641538800,15.25,15.39,15.2,15.38
1641540600,15.38,15.43,15.29,15.31
1641542400,15.32,15.32,15.19,15.25
1641544200,15.24,15.37,15.19,15.33
1641546000,15.33,15.52,15.33,15.49
1641547800,15.49,15.59,15.49,15.57
1641549600,15.57,15.59,15.52,15.59
1641551400,15.59,15.59,15.48,15.52
1641553200,15.52,15.55,15.26,15.34
1641555000,15.34,15.42,15.2,15.39
1641556800,15.39,15.39,15.24,15.27
1641558600,15.27,15.27,15.13,15.25
1641560400,15.25,15.3,15.21,15.28
1641562200,15.28,15.3,15.2,15.28
1641564000,15.28,15.41,15.27,15.34
1641565800,15.34,15.4,15.25,15.35
1641567600,15.35,15.35,15.31,15.31
1641796200,15.41,15.41,15.41,15.41
1641798000,15.41,15.45,15.33,15.44
1641799800,15.44,15.56,15.38,15.49
1641801600,15.49,15.5,15.4,15.46
1641803400,15.46,15.47,15.41,15.43
1641805200,15.43,15.49,15.41,15.47
1641807000,15.46,15.47,15.43,15.44
1641808800,15.44,15.47,15.43,15.47
1641810600,15.47,15.47,15.42,15.44
1641812400,15.44,15.44,15.41,15.42
1641814200,15.43,15.55,15.42,15.53
1641816000,15.54,15.55,15.44,15.44
1641817800,15.45,15.54,15.44,15.5
1641819600,15.5,15.56,15.49,15.56
1641821400,15.56,15.56,15.48,15.51
1641823200,15.51,15.51,15.47,15.48
1641825000,15.47,15.5,15.33,15.33
1641826800,15.25,15.25,15.25,15.25
1641882600,15.42,15.42,15.42,15.42
1641884400,15.41,15.67,15.34,15.57
1641886200,15.55,15.59,15.43,15.51
1641888000,15.52,15.57,15.43,15.48
1641889800,15.48,15.51,15.4,15.4
1641891600,15.41,15.41,15.26,15.36
1641893400,15.35,15.47,15.34,15.44
1641895200,15.44,15.47,15.41,15.45
1641897000,15.46,15.54,15.4,15.54
1641898800,15.54,15.54,15.42,15.43
1641900600,15.43,15.5,15.39,15.48
1641902400,15.48,15.54,15.48,15.51
1641904200,15.51,15.63,15.48,15.62
1641906000,15.62,15.99,15.58,15.89
1641907800,15.89,16.03,15.82,15.97
1641909600,15.98,16.02,15.85,15.93
1641911400,15.93,15.96,15.79,15.91
1641913200,15.91,15.91,15.88,15.88
1641969000,16.08,16.08,16.08,16.08
1641970800,16.08,16.24,16.02,16.16
1641972600,16.18,16.22,16.04,16.1
1641974400,16.1,16.15,15.98,16.04
1641976200,16.03,16.04,15.9,15.98
1641978000,15.99,15.99,15.83,15.95
1641979800,15.94,15.99,15.93,15.96
1641981600,15.96,15.98,15.93,15.93
1641983400,15.94,15.98,15.92,15.96
1641985200,15.96,15.98,15.89,15.89
1641987000,15.89,15.96,15.86,15.93
1641988800,15.93,15.93,15.77,15.87
1641990600,15.88,15.91,15.85,15.89
1641992400,15.89,15.9,15.81,15.88
1641994200,15.88,15.95,15.87,15.92
1641996000,15.92,16.01,15.81,15.89
1641997800,15.89,15.92,15.83,15.84
1641999600,15.84,15.84,15.79,15.79
1642055400,15.71,15.71,15.71,15.71
1642057200,15.7,15.8,15.61,15.71
1642059000,15.7,15.75,15.63,15.73
1642060800,15.72,15.87,15.71,15.84
1642062600,15.84,15.89,15.77,15.85
1642064400,15.85,15.96,15.83,15.95
1642066200,15.95,15.99,15.92,15.94
1642068000,15.95,16.02,15.92,15.95
1642069800,15.94,15.97,15.88,15.93
1642071600,15.93,15.94,15.87,15.88
1642073400,15.87,15.91,15.86,15.89
1642075200,15.89,15.94,15.88,15.91
1642077000,15.9,15.92,15.87,15.89
1642078800,15.89,15.93,15.84,15.86
1642080600,15.86,15.96,15.84,15.94
1642082400,15.94,16.01,15.82,15.83
1642084200,15.82,15.92,15.76,15.79
1642086000,15.81,15.81,15.81,15.81
1642141800,15.83,15.83,15.83,15.83
1642143600,15.82,15.87,15.74,15.76
1642145400,15.75,15.78,15.66,15.7
1642147200,15.7,15.73,15.61,15.69
1642149000,15.69,15.71,15.65,15.67
1642150800,15.68,15.73,15.66,15.71
1642152600,15.7,15.71,15.65,15.67
1642154400,15.67,15.67,15.62,15.63
1642156200,15.64,15.68,15.57,15.67
1642158000,15.67,15.68,15.62,15.66
1642159800,15.65,15.69,15.63,15.66
1642161600,15.67,15.69,15.63,15.65
1642163400,15.65,15.66,15.61,15.62
1642165200,15.63,15.63,15.54,15.59
1642167000,15.6,15.64,15.58,15.61
1642168800,15.61,15.78,15.6,15.76
1642170600,15.76,15.79,15.68,15.75
1642172400,15.74,15.74,15.74,15.74
1642401000,15.74,15.74,15.74,15.74
1642402800,15.73,15.73,15.46,15.48
1642404600,15.48,15.53,15.38,15.52
1642406400,15.52,15.53,15.46,15.51
1642408200,15.51,15.56,15.49,15.53
