time,open,high,low,close
1641191400,24,24,24,24
1641193200,24,24.19,23.95,23.99
1641195000,24.02,24.09,23.95,24.05
1641196800,24.05,24.39,24.04,24.33
1641198600,24.34,24.63,24.32,24.58
1641200400,24.58,24.99,24.57,24.99
1641202200,24.99,25.39,24.97,25.2
1641204000,25.19,25.21,25.08,25.16
1641205800,25.16,25.23,25.09,25.12
1641207600,25.12,25.14,24.94,24.99
1641209400,24.97,25.05,24.84,25.05
1641211200,25.04,25.11,24.99,25.05
1641213000,25.04,25.18,25,25.05
1641214800,25.06,25.18,25.05,25.08
1641216600,25.08,25.12,24.93,25.04
1641218400,25.03,25.08,24.94,24.99
1641220200,24.99,25.19,24.95,25.18
1641222000,25.18,25.18,25.18,25.18
1641277800,25.29,25.29,25.29,25.29
1641279600,25.3,25.67,25.19,25.41
1641281400,25.41,25.64,25.31,25.58
1641283200,25.58,25.59,25.41,25.51
1641285000,25.52,25.96,25.48,25.79
1641286800,25.78,25.8,25.65,25.72
1641288600,25.74,25.82,25.65,25.66
1641290400,25.66,25.79,25.62,25.75
1641292200,25.75,25.8,25.6,25.62
1641294000,25.64,25.75,25.63,25.75
1641295800,25.74,25.76,25.63,25.66
1641297600,25.66,25.76,25.66,25.69
1641299400,25.68,25.68,25.07,25.33
1641301200,25.32,25.4,24.97,25.38
1641303000,25.37,25.39,25.04,25.17
1641304800,25.15,25.35,25,25.32
1641306600,25.32,25.45,25.22,25.43
1641308400,25.46,25.46,25.46,25.46
1641364200,25.5,25.5,25.5,25.5
1641366000,25.51,25.68,25.36,25.43
1641367800,25.44,25.47,25.33,25.36
1641369600,25.36,25.47,25.3,25.4
1641371400,25.4,25.59,25.4,25.55
1641373200,25.55,25.64,25.52,25.61
1641375000,25.61,25.62,25.44,25.46
1641376800,25.46,25.49,25.36,25.42
1641378600,25.43,25.44,25.34,25.42
1641380400,25.42,25.5,25.39,25.45
1641382200,25.45,25.5,25.43,25.49
1641384000,25.5,25.58,25.46,25.57
1641385800,25.57,25.57,25.48,25.54
1641387600,25.55,25.82,25.54,25.81
1641389400,25.81,25.86,25.62,25.78
