time,open,high,low,close
1641191400,11.29,11.29,11.29,11.29
1641193200,11.29,11.38,11.29,11.35
1641195000,11.36,11.45,11.35,11.44
1641196800,11.44,11.47,11.42,11.45
1641198600,11.44,11.5,11.44,11.48
1641200400,11.48,11.49,11.46,11.47
1641202200,11.47,11.48,11.46,11.47
1641204000,11.47,11.48,11.45,11.46
1641205800,11.46,11.47,11.45,11.46
1641207600,11.47,11.52,11.46,11.52
1641209400,11.52,11.54,11.49,11.49
1641211200,11.5,11.51,11.49,11.49
1641213000,11.49,11.5,11.43,11.44
1641214800,11.45,11.47,11.44,11.47
1641216600,11.47,11.5,11.46,11.49
1641218400,11.49,11.5,11.44,11.46
1641220200,11.46,11.46,11.44,11.45
1641222000,11.46,11.46,11.46,11.46
1641277800,11.49,11.49,11.49,11.49
1641279600,11.49,11.6,11.47,11.59
1641281400,11.59,11.61,11.55,11.58
1641283200,11.58,11.59,11.52,11.54
1641285000,11.55,11.56,11.54,11.54
1641286800,11.54,11.56,11.53,11.55
1641288600,11.55,11.55,11.49,11.5
1641290400,11.49,11.53,11.48,11.52
1641292200,11.52,11.53,11.47,11.47
1641294000,11.47,11.51,11.47,11.5
1641295800,11.51,11.51,11.48,11.49
1641297600,11.49,11.5,11.48,11.49
1641299400,11.49,11.49,11.38,11.42
1641301200,11.42,11.42,11.33,11.42
1641303000,11.42,11.42,11.36,11.38
1641304800,11.39,11.44,11.36,11.44
1641306600,11.43,11.45,11.4,11.45
1641308400,11.43,11.43,11.43,11.43
1641364200,11.43,11.43,11.43,11.43
1641366000,11.44,11.47,11.41,11.44
1641367800,11.44,11.45,11.41,11.43
1641369600,11.43,11.47,11.42,11.45
1641371400,11.45,11.5,11.44,11.47
1641373200,11.47,11.5,11.46,11.47
1641375000,11.47,11.47,11.43,11.44
1641376800,11.44,11.44,11.42,11.44
1641378600,11.44,11.46,11.43,11.45
1641380400,11.45,11.46,11.43,11.45
1641382200,11.45,11.46,11.44,11.44
1641384000,11.45,11.46,11.43,11.43
1641385800,11.44,11.45,11.43,11.44
1641387600,11.44,11.45,11.43,11.44
1641389400,11.43,11.45,11.41,11.42
1641391200,11.41,11.46,11.41,11.45
1641393000,11.46,11.48,11.42,11.46
1641394800,11.45,11.45,11.45,11.45
1641450600,11.38,11.38,11.38,11.38
1641452400,11.37,11.47,11.36,11.47
1641454200,11.46,11.51,11.46,11.5
1641456000,11.5,11.51,11.46,11.47
1641457800,11.46,11.55,11.46,11.54
1641459600,11.54,11.57,11.48,11.5
1641461400,11.5,11.52,11.48,11.48
1641463200,11.49,11.5,11.45,11.48
1641465000,11.48,11.48,11.47,11.48
1641466800,11.47,11.5,11.46,11.48
1641468600,11.47,11.51,11.47,11.5
1641470400,11.5,11.52,11.48,11.5
1641472200,11.5,11.53,11.49,11.53
1641474000,11.53,11.54,11.49,11.51
1641475800,11.51,11.55,11.49,11.54
1641477600,11.54,11.54,11.5,11.52
1641479400,11.52,11.53,11.48,11.49
1641481200,11.48,11.48,11.48,11.48
1641537000,11.48,11.48,11.48,11.48
1641538800,11.49,11.54,11.48,11.52
1641540600,11.52,11.59,11.5,11.59
1641542400,11.59,11.76,11.57,11.7
1641544200,11.7,11.72,11.67,11.68
1641546000,11.69,11.7,11.66,11.68
1641547800,11.69,11.7,11.68,11.69
1641549600,11.69,11.7,11.66,11.69
1641551400,11.69,11.77,11.67,11.76
1641553200,11.76,11.76,11.68,11.7
1641555000,11.69,11.7,11.64,11.7
1641556800,11.7,11.71,11.65,11.67
1641558600,11.67,11.67,11.63,11.65
1641560400,11.65,11.69,11.64,11.68
1641562200,11.67,11.72,11.64,11.72
1641564000,11.72,11.74,11.7,11.72
1641565800,11.71,11.78,11.69,11.74
1641567600,11.75,11.75,11.75,11.75
1641796200,11.83,11.83,11.83,11.83
1641798000,11.83,11.92,11.83,11.89
1641799800,11.88,11.89,11.84,11.85
1641801600,11.85,11.86,11.84,11.86
1641803400,11.86,11.86,11.8,11.81
1641805200,11.82,11.84,11.79,11.83
1641807000,11.84,11.84,11.79,11.8
1641808800,11.8,11.85,11.78,11.83
1641810600,11.84,11.86,11.83,11.85
1641812400,11.85,11.85,11.83,11.83
1641814200,11.84,11.84,11.82,11.83
1641816000,11.84,11.86,11.83,11.84
1641817800,11.84,11.86,11.83,11.86
1641819600,11.85,11.87,11.83,11.84
1641821400,11.84,11.87,11.83,11.85
1641823200,11.86,11.86,11.82,11.82
1641825000,11.83,11.84,11.79,11.79
1641826800,11.74,11.74,11.74,11.74
1641882600,11.81,11.81,11.81,11.81
1641884400,11.81,11.82,11.74,11.75
1641886200,11.76,11.76,11.69,11.74
1641888000,11.74,11.75,11.72,11.72
1641889800,11.73,11.75,11.71,11.72
1641891600,11.72,11.72,11.68,11.7
1641893400,11.71,11.76,11.7,11.75
1641895200,11.75,11.78,11.74,11.78
1641897000,11.78,11.78,11.74,11.76
1641898800,11.75,11.78,11.74,11.75
1641900600,11.75,11.79,11.74,11.79
1641902400,11.79,11.87,11.78,11.82
1641904200,11.82,11.91,11.82,11.87
1641906000,11.88,11.89,11.83,11.85
1641907800,11.84,11.86,11.83,11.83
1641909600,11.83,11.85,11.79,11.84
1641911400,11.84,11.84,11.77,11.78
1641913200,11.78,11.78,11.78,11.78
1641969000,11.87,11.87,11.87,11.87
1641970800,11.87,11.92,11.85,11.88
1641972600,11.88,11.89,11.87,11.88
1641974400,11.87,11.89,11.87,11.88
1641976200,11.88,11.88,11.82,11.84
1641978000,11.84,11.85,11.83,11.85
1641979800,11.85,11.85,11.84,11.85
1641981600,11.85,11.85,11.83,11.84
1641983400,11.84,11.85,11.83,11.85
1641985200,11.84,11.87,11.84,11.84
1641987000,11.84,11.86,11.84,11.84
1641988800,11.84,11.85,11.8,11.83
1641990600,11.83,11.84,11.82,11.83
1641992400,11.83,11.83,11.81,11.83
1641994200,11.83,11.86,11.82,11.86
1641996000,11.86,11.87,11.83,11.84
1641997800,11.84,11.91,11.84,11.86
1641999600,11.85,11.85,11.85,11.85
1642055400,11.84,11.84,11.84,11.84
1642057200,11.84,11.91,11.83,11.88
1642059000,11.87,11.89,11.84,11.88
1642060800,11.89,11.95,11.88,11.92
1642062600,11.91,11.92,11.86,11.88
1642064400,11.87,11.89,11.87,11.89
1642066200,11.88,11.91,11.88,11.9
1642068000,11.89,11.93,11.89,11.91
1642069800,11.91,11.92,11.9,11.9
1642071600,11.91,11.91,11.89,11.9
1642073400,11.9,11.92,11.89,11.91
1642075200,11.9,11.93,11.9,11.92
1642077000,11.91,11.92,11.87,11.89
1642078800,11.9,11.9,11.86,11.86
1642080600,11.86,11.88,11.84,11.86
1642082400,11.85,11.88,11.84,11.86
1642084200,11.86,11.87,11.85,11.86
1642086000,11.88,11.88,11.88,11.88
1642141800,11.86,11.86,11.86,11.86
1642143600,11.86,11.87,11.81,11.81
1642145400,11.81,11.82,11.75,11.79
1642147200,11.79,11.79,11.74,11.79
1642149000,11.79,11.8,11.77,11.79
1642150800,11.79,11.8,11.78,11.79
1642152600,11.78,11.8,11.78,11.79
1642154400,11.79,11.8,11.76,11.79
1642156200,11.78,11.82,11.77,11.81
1642158000,11.81,11.81,11.79,11.8
1642159800,11.8,11.81,11.79,11.8
1642161600,11.8,11.81,11.78,11.79
1642163400,11.78,11.8,11.77,11.77
1642165200,11.78,11.8,11.75,11.8
1642167000,11.8,11.81,11.79,11.8
1642168800,11.8,11.85,11.79,11.84
