time,open,high,low,close
1641191400,77.3,77.3,77.3,77.3
1641193200,77.25,78.15,76.85,77.05
1641195000,77.05,78.15,77,77.85
1641196800,77.9,78.25,77.75,78.05
1641198600,78.1,78.5,77.5,77.9
1641200400,77.85,78.05,77.65,77.9
1641202200,77.9,78.25,77.6,78.2
1641204000,78.2,78.25,77.75,77.9
1641205800,77.9,78.05,77.8,77.9
1641207600,77.95,78,77.1,77.2
1641209400,77.2,77.65,77,77.45
1641211200,77.4,77.75,77.35,77.75
1641213000,77.75,77.9,77.5,77.55
1641214800,77.55,77.75,77.5,77.55
1641216600,77.55,77.8,77.25,77.55
1641218400,77.7,77.7,77.25,77.45
1641220200,77.45,77.85,77.35,77.8
1641222000,77.8,77.8,77.8,77.8
1641277800,80.8,80.8,80.8,80.8
1641279600,80.85,83.15,80.85,81.7
1641281400,81.7,81.8,80.65,81
1641283200,81.05,81.6,80.9,81
1641285000,81,81.2,80.75,80.85
1641286800,80.85,81.05,80.7,81.05
1641288600,81.1,81.15,80.75,80.85
1641290400,80.85,81,80.7,80.9
1641292200,80.9,80.95,80.35,80.45
1641294000,80.4,80.75,80.4,80.7
1641295800,80.75,80.8,80.45,80.6
1641297600,80.6,80.8,80.5,80.6
1641299400,80.6,80.6,78,79.6
1641301200,79.55,79.65,78.95,79.6
1641303000,79.65,79.8,79.1,79.35
1641304800,79.35,79.5,78.8,79.5
1641306600,79.4,79.75,79,79.55
1641308400,80,80,80,80
1641364200,81.2,81.2,81.2,81.2
1641366000,81.1,81.35,80.3,81
1641367800,81.05,81.25,80.85,81
1641369600,81,81,80.4,80.4
1641371400,80.45,80.95,80.45,80.75
1641373200,80.8,81.2,80.65,80.9
1641375000,81,81.05,80.6,80.75
1641376800,80.75,81.2,80.7,80.8
1641378600,80.8,81,80.75,80.9
1641380400,80.9,81.05,80.75,80.9
1641382200,80.95,80.95,80.8,80.85
1641384000,80.85,80.95,80.65,80.85
1641385800,80.85,80.85,80.6,80.8
1641387600,80.8,81.15,80.75,81.05
1641389400,81.05,81.05,80.65,81
1641391200,81,81.1,80.8,80.9
1641393000,80.9,80.95,80.5,80.75
1641394800,80.7,80.7,80.7,80.7
1641450600,80,80,80,80
1641452400,80,81.5,79.1,81.3
1641454200,81.25,81.35,80.65,80.8
1641456000,80.75,81,80.55,80.55
1641457800,80.55,80.65,80.35,80.55
1641459600,80.6,80.8,80.5,80.6
1641461400,80.65,80.7,80.05,80.1
1641463200,80.1,80.45,79.85,80
1641465000,80.05,80.05,79.85,79.95
1641466800,79.95,79.95,79.55,79.6
1641468600,79.55,79.85,79.55,79.65
1641470400,79.65,79.95,79.55,79.8
1641472200,79.7,80.05,79.65,80.05
1641474000,80,80.15,79.7,79.85
1641475800,79.8,80.3,79.75,80.15
1641477600,80.25,80.3,79.85,79.9
1641479400,79.85,80,79.5,79.5
1641481200,79.45,79.45,79.45,79.45
1641537000,79.6,79.6,79.6,79.6
1641538800,79.6,80.05,79.6,80
1641540600,80,80.5,79.75,80.15
1641542400,80.15,80.35,79.75,80
1641544200,80,80.65,79.95,80.6
1641546000,80.55,81.2,80.55,80.9
1641547800,80.9,80.95,80.45,80.6
1641549600,80.65,80.9,80.6,80.85
1641551400,80.85,80.9,80.65,80.75
1641553200,80.75,80.8,80.2,80.4
1641555000,80.35,81.05,79.65,81.05
1641556800,81.05,81.5,80.75,81.45
1641558600,81.5,82.05,80.8,82
1641560400,82.05,82.5,81.9,82.3
1641562200,82.3,82.4,80.85,81.45
1641564000,81.5,82,81.35,81.7
1641565800,81.75,82.1,81.55,82
1641567600,82.35,82.35,82.35,82.35
1641796200,82.65,82.65,82.65,82.65
1641798000,82.7,83.9,82.7,83.25
1641799800,83.2,83.3,82.8,83
1641801600,83,83.05,82.6,82.6
1641803400,82.6,82.95,82.6,82.75
1641805200,82.7,82.85,82.65,82.8
1641807000,82.8,82.95,82.75,82.85
1641808800,82.85,82.95,82.75,82.8
1641810600,82.8,82.85,82.35,82.55
1641812400,82.55,82.6,82,82.45
1641814200,82.45,82.65,82.3,82.4
1641816000,82.4,82.8,82.35,82.55
1641817800,82.5,82.65,82.2,82.55
1641819600,82.55,82.65,82.4,82.6
1641821400,82.65,82.95,82.45,82.8
1641823200,82.8,82.9,82.3,82.45
1641825000,82.4,82.6,81.8,81.95
1641826800,81.9,81.9,81.9,81.9
1641882600,82.7,82.7,82.7,82.7
1641884400,82.7,82.8,81.1,81.4
1641886200,81.35,81.45,80.5,81.2
1641888000,81.2,81.3,80.55,80.75
1641889800,80.75,80.9,80.15,80.25
1641891600,80.3,80.45,79.55,80.4
1641893400,80.35,80.9,80.25,80.75
1641895200,80.75,80.95,80.55,80.95
1641897000,80.95,81.1,80.45,80.75
1641898800,80.7,80.9,80.5,80.65
1641900600,80.6,80.8,80,80.7
1641902400,80.7,80.9,80.5,80.7
1641904200,80.6,81.25,80.6,80.9
1641906000,80.9,81.1,80.85,81.05
1641907800,81.05,81.2,80.6,80.75
1641909600,80.7,80.8,80.35,80.55
1641911400,80.5,80.7,80.05,80.35
1641913200,80.2,80.2,80.2,80.2
1641969000,81.2,81.2,81.2,81.2
1641970800,81.2,81.55,80.7,81.15
1641972600,81.2,81.2,80.6,80.8
1641974400,80.7,80.85,80.4,80.6
1641976200,80.55,80.6,80.3,80.45
1641978000,80.45,80.55,80.35,80.5
1641979800,80.5,80.65,80.4,80.5
1641981600,80.45,80.55,80.4,80.4
1641983400,80.4,80.6,80.4,80.45
1641985200,80.4,80.5,80.25,80.25
1641987000,80.25,80.45,80.1,80.25
1641988800,80.2,80.25,79.75,80.05
1641990600,80.1,80.1,79.9,79.95
1641992400,80,80.05,79.7,80
1641994200,80,80.45,79.95,80.45
1641996000,80.35,80.45,79.9,80
1641997800,80,80.2,79.95,80.15
1641999600,80,80,80,80
1642055400,79.75,79.75,79.75,79.75
1642057200,79.7,80.75,79.55,80.15
1642059000,80.15,81,80.1,81
1642060800,81,81.15,80.3,80.3
1642062600,80.35,80.4,79.8,80
1642064400,80.05,80.2,79.9,80.05
1642066200,80.05,80.25,80,80.1
1642068000,80.15,80.55,80,80.5
1642069800,80.45,80.65,80.3,80.65
1642071600,80.6,80.8,80.35,80.4
1642073400,80.4,80.5,80.4,80.4
1642075200,80.45,80.7,80.35,80.65
1642077000,80.65,80.7,80.3,80.4
1642078800,80.4,80.45,79.95,80
1642080600,80.05,80.15,79.95,80
1642082400,80,80.15,79.85,80
1642084200,80,80.3,79.95,80.2
1642086000,80.15,80.15,80.15,80.15
1642141800,80.15,80.15,80.15,80.15
1642143600,80.15,80.55,79.75,79.75
1642145400,79.75,79.9,79.5,79.9
1642147200,79.9,80.8,79.9,80.7
1642149000,80.7,81.05,80.4,80.7
1642150800,80.65,81.75,80.6,81.5
1642152600,81.5,81.55,80.8,80.9
1642154400,80.85,80.9,80.55,80.7
1642156200,80.7,81.5,80.5,81.25
1642158000,81.3,82.25,81.3,82.15
1642159800,82.15,82.15,81.6,81.9
1642161600,81.9,83,81.8,82.75
1642163400,82.75,82.75,82.3,82.45
1642165200,82.45,83,82.05,82.4
1642167000,82.45,82.5,82.15,82.25
1642168800,82.35,83.1,82.3,82.95
1642170600,83,83.1,82.6,83
1642172400,82.9,82.9,82.9,82.9
1642401000,83.85,83.85,83.85,83.85
1642402800,83.85,84.25,83.6,83.75
1642404600,83.7,84.55,83.6,84.5
1642406400,84.5,84.5,83.6,83.75
1642408200,83.75,83.95,83.65,83.7
1642410000,83.65,84.25,83.65,84.05
1642411800,84.05,84.1,83.8,83.95
1642413600,84,84.15,83.85,83.9
1642415400,83.9,84,83.8,83.85
1642417200,83.85,84.05,83.8,83.95
1642419000,83.95,84.3,83.9,83.95
1642420800,83.95,84.3,83.9,84.1
1642422600,84.05,84.2,83.9,84.05
1642424400,84.05,84.05,83.3,83.45
1642426200,83.4,83.95,83.25,83.75
1642428000,83.75,84.2,83.7,84.1
1642429800,84.1,84.35,83.9,84.2
1642431600,84.2,84.2,84.2,84.2
1642487400,84.25,84.25,84.25,84.25
1642489200,84.2,84.35,83.75,83.85
1642491000,83.9,84,83.75,83.9
1642492800,83.9,83.95,83.2,83.3
1642494600,83.3,83.5,83.05,83.3
1642496400,83.25,83.3,82.75,82.9
1642498200,82.9,83.55,82.5,83.05
1642500000,83,83.35,82.9,83.3
1642501800,83.3,83.4,83.05,83.1
1642503600,83.1,83.2,82.7,83.1
1642505400,83.05,83.3,82.9,83.2
1642507200,83.2,83.25,82.9,83.2
1642509000,83.1,83.2,82.8,82.85
1642510800,82.85,82.85,82.25,82.3
1642512600,82.25,82.5,81.5,82.3
1642514400,82.3,82.35,80.05,80.05
1642573800,80.05,80.05,80.05,80.05
1642575600,80,80.25,77.95,79.15
1642577400,79.15,79.55,77.85,78.15
1642579200,78.1,78.85,78,78.55
1642581000,78.5,79.15,78.5,78.95
1642582800,78.9,79,78.25,78.4
1642584600,78.35,78.7,78.25,78.3
1642586400,78.3,78.7,78.3,78.4
1642588200,78.4,78.6,77.55,77.75
1642590000,77.75,77.95,77,77.4
1642591800,77.4,78,77.15,77.8
1642593600,77.8,78.1,77.4,77.7
1642595400,77.7,78.85,77.7,78.65
1642597200,78.65,80.1,78.65,79.65
1642599000,79.65,80.5,79.55,80.2
1642600800,80.25,84,80.25,81.1
1642602600,81.05,82.6,80.75,82.6
1642604400,82.7,82.7,82.7,82.7
1642660200,83.25,83.25,83.25,83.25
1642662000,83.25,84.2,82.65,84.15
1642663800,84.15,85,83.7,84.85
1642665600,84.85,85.1,83.25,83.55
1642667400,83.6,83.85,83.4,83.5
1642669200,83.5,84.25,83.2,84.15
1642671000,84.1,84.65,84,84.55
1642672800,84.5,84.7,84,84.5
1642674600,84.5,84.95,84.5,84.75
1642676400,84.75,85.3,84.3,84.95
1642678200,85,85.75,83.7,84.05
1642680000,83.95,84.45,83.2,83.85
1642681800,83.85,83.85,83.05,83.35
1642683600,83.35,83.9,83.15,83.65
1642685400,83.65,83.95,83.45,83.85
1642687200,83.85,83.85,81.85,81.85
1642689000,81.85,83.35,81.5,83.35
1642690800,83.35,83.35,83.35,83.35
1642746600,83.75,83.75,83.75,83.75
1642748400,83.75,85,83,83.4
1642750200,83.35,83.65,82.65,83
1642752000,82.95,83.4,82.8,83.2
1642753800,83.2,83.4,81.75,82.15
1642755600,82.1,82.75,82,82.3
1642757400,82.35,82.6,82,82.15
1642759200,82.15,82.65,81.9,82.45
1642761000,82.5,82.7,82.25,82.3
1642762800,82.3,82.3,81.85,82.2
1642764600,82.25,82.35,81.95,82.2
1642766400,82.15,82.5,82,82.45
1642768200,82.45,82.6,82.3,82.5
1642770000,82.5,82.85,82.4,82.6
1642771800,82.65,82.8,82.3,82.7
1642773600,82.65,83.2,82.55,82.9
1642775400,82.9,83.2,82.6,83.2
1642777200,83,83,83,83
1643005800,83,83,83,83
1643007600,83.05,84.2,82.7,84.15
1643009400,84.15,84.75,84,84.5
1643011200,84.5,85.15,84.35,84.75
1643013000,84.7,84.85,84.45,84.5
1643014800,84.5,85.25,84.05,84.65
1643016600,84.65,84.65,83.7,83.85
1643018400,83.85,83.85,82.9,83.5
1643020200,83.45,83.45,81.2,81.45
1643022000,81.4,82.15,80.55,81
1643023800,81,81.45,80,80.7
1643025600,80.65,80.95,80.3,80.55
1643027400,80.55,80.85,78.85,79.4
1643029200,79.35,80.2,79.05,79.6
1643031000,79.65,79.95,78.95,79.45
1643032800,79.45,80.25,79.35,80
1643034600,80.05,80.05,79,79.05
1643092200,80,80,80,80
1643094000,80,80.5,77.8,77.95
1643095800,77.9,78.85,77.85,78.65
1643097600,78.65,78.85,76.9,77.05
1643099400,77.05,77.95,76.8,77.7
1643101200,77.75,78.4,77.7,78.35
1643103000,78.3,78.8,78.25,78.5
1643104800,78.5,79.05,77.95,78
1643106600,78,78,77.2,77.5
1643108400,77.5,77.65,77.3,77.5
1643110200,77.5,77.5,77,77.2
1643112000,77.15,77.8,77.15,77.55
1643113800,77.6,78.65,77.4,78.65
1643115600,78.65,78.75,78.15,78.35
1643117400,78.35,78.9,78.05,78.85
1643119200,78.9,79.35,78.7,79.15
1643121000,79.1,79.15,78.1,78.5
1643122800,78.3,78.3,78.3,78.3
1643178600,78.3,78.3,78.3,78.3
1643180400,78.3,78.55,78.05,78.35
1643182200,78.35,78.4,77.9,78.35
1643184000,78.4,78.8,78.1,78.25
1643185800,78.25,78.4,78.2,78.3
1643187600,78.3,78.6,78.25,78.4
1643189400,78.45,78.55,78.25,78.4
1643191200,78.4,78.65,78.3,78.55
1643193000,78.55,78.6,78.4,78.5
1643194800,78.4,78.5,78.05,78.2
1643196600,78.15,78.35,78,78.3
1643198400,78.3,78.3,78,78.05
1643200200,78.05,78.05,77.05,77.3
1643202000,77.3,77.75,77.1,77.75
1643203800,77.8,79.45,77.75,79.45
1643205600,79.45,79.7,78.95,79.35
1643207400,79.35,79.5,78.75,79.45
1643209200,79.45,79.45,79.4,79.4
1643265000,78.3,78.3,78.3,78.3
1643266800,78.4,78.75,78,78.3
1643268600,78.3,78.6,77.95,78.1
1643270400,78.15,78.7,78.05,78.5
1643272200,78.55,79.1,78.3,79.1
1643274000,79.1,79.35,78.7,79.25
1643275800,79.3,79.3,78.85,79
1643277600,78.95,79.05,78.7,78.75
1643279400,78.7,78.8,78.55,78.6
1643281200,78.65,78.7,78.4,78.5
1643283000,78.5,78.6,78.3,78.5
1643284800,78.5,78.55,78.35,78.45
1643286600,78.4,78.55,78.15,78.4
1643288400,78.45,78.95,78.45,78.45
1643290200,78.45,78.85,78.35,78.85
1643292000,78.85,79,78.5,78.75
1643293800,78.75,79.15,78.45,78.8
1643295600,78.75,78.75,78.75,78.75
1643351400,79,79,79,79
1643353200,79.05,80.3,79.05,79.6
1643355000,79.55,80.7,79.45,80.15
1643356800,80.1,80.2,79.45,79.6
1643358600,79.5,79.75,79.45,79.6
1643360400,79.55,79.7,78.85,78.9
1643362200,78.9,79.1,78.55,78.7
1643364000,78.65,79,78.45,78.7
1643365800,78.7,78.75,78.35,78.6
1643367600,78.6,78.65,78.15,78.45
1643369400,78.45,78.55,78,78.1
1643371200,78.1,78.15,77.55,77.7
1643373000,77.75,78.2,77.5,77.8
1643374800,77.8,78.5,77.75,78.5
1643376600,78.5,78.65,78.1,78.35
1643378400,78.3,78.75,78.15,78.6
1643380200,78.6,78.65,77.65,77.7
1643382000,77.5,77.5,77.5,77.5
1643610600,77.5,77.5,77.5,77.5
1643612400,77.5,77.95,77.45,77.45
1643614200,77.45,77.6,77.3,77.4
1643616000,77.4,77.5,76.95,77.1
1643617800,77.1,77.35,77,77.35
1643619600,77.35,78.35,77.25,78.35
1643621400,78.35,79.2,77.95,79.2
1643623200,79.2,79.45,78.7,79.05
1643625000,79.05,79.35,78.75,79.35
1643626800,79.35,79.45,78.95,79.2
1643628600,79.2,79.3,79,79.15
1643630400,79.15,79.65,78.3,78.6
1643632200,78.65,79.3,78.6,79.1
1643634000,79.05,80.1,78.9,80.1
1643635800,80.1,80.2,79.4,80.05
1643637600,80.05,80.05,79.4,80.05
1643639400,80,80.2,79.3,79.5
1643641200,79.35,79.35,79.35,79.35
1643697000,80.5,80.5,80.5,80.5
1643698800,80.55,82.2,80.55,81.45
1643700600,81.5,81.95,81.35,81.6
1643702400,81.6,81.6,81.05,81.25
1643704200,81.2,81.4,81.1,81.15
1643706000,81.15,81.4,81.1,81.3
1643707800,81.35,81.65,81.25,81.35
1643709600,81.35,81.4,81.1,81.3
1643711400,81.3,81.75,81,81.35
1643713200,81.3,81.4,81.2,81.35
1643715000,81.3,81.4,81.2,81.35
1643716800,81.4,81.4,80.85,80.95
1643718600,80.95,81.05,80.55,81
1643720400,81,81,80.6,80.7
1643722200,80.65,80.65,80.1,80.4
1643724000,80.45,80.45,79.95,80.05
1643725800,80.05,80.65,79.9,80.05
1643727600,80.05,80.05,79.9,79.9
1643783400,80.45,80.45,80.45,80.45
1643785200,80.45,80.65,79.65,80.15
1643787000,80.2,81.45,80.2,81.1
1643788800,81.1,81.75,81,81.1
1643790600,81.1,81.1,80.4,80.75
1643792400,80.8,80.85,80.6,80.6
1643794200,80.6,80.7,80.45,80.5
1643796000,80.55,80.6,80.1,80.25
1643797800,80.25,80.55,80.2,80.25
1643799600,80.25,80.4,79.6,79.9
1643801400,79.85,80.5,79.75,80.2
1643803200,80.25,80.9,80.05,80.8
1643805000,80.8,81.05,80.3,80.85
1643806800,80.9,81.1,80.5,80.65
1643808600,80.7,81.05,80.5,80.7
1643810400,80.65,80.8,80.4,80.55
1643812200,80.55,80.6,79.8,80.4
1643814000,80.1,80.1,80.1,80.1
1643869800,79.85,79.85,79.85,79.85
1643871600,79.85,80.3,79.7,79.9
1643873400,79.9,80.25,79.8,80.05
1643875200,80,80.05,79.35,79.6
1643877000,79.6,79.85,79.55,79.75
1643878800,79.75,79.85,79.55,79.8
1643880600,79.75,79.8,79.3,79.4
1643882400,79.4,79.7,79.35,79.65
1643884200,79.6,79.6,79.4,79.4
1643886000,79.4,79.5,79.25,79.3
1643887800,79.3,79.4,79.15,79.4
1643889600,79.35,79.4,79.15,79.35
1643891400,79.35,80.1,79.25,80
1643893200,80,80.1,79.75,80.1
1643895000,80.1,80.15,79.15,79.25
1643896800,79.25,79.25,78.6,79
1643898600,79,79,77.2,77.8
1643900400,77.75,77.75,77.75,77.75
1643956200,78.3,78.3,78.3,78.3
1643958000,78.35,78.75,77.45,77.6
1643959800,77.55,77.6,77.2,77.45
1643961600,77.45,77.65,77.25,77.3
1643963400,77.3,77.3,76.15,76.4
1643965200,76.4,77,76.25,76.95
1643967000,76.95,77.1,76.65,76.85
1643968800,76.85,76.9,76.35,76.75
1643970600,76.85,77,76.6,76.8
1643972400,76.85,76.95,76.3,76.5
1643974200,76.5,76.55,76.1,76.4
1643976000,76.4,76.7,75.95,76.6
1643977800,76.65,76.95,76.45,76.8
1643979600,76.85,76.9,76.65,76.65
1643981400,76.65,76.65,76.25,76.35
1643983200,76.35,76.7,76.25,76.6
1643985000,76.6,76.6,75.6,75.95
1643986800,75.95,76,75.85,75.85
1644215400,76.45,76.45,76.45,76.45
1644217200,76.45,77.05,76,76.2
1644219000,76.2,76.35,76.1,76.3
1644220800,76.3,76.7,74.8,75.1
1644222600,75.1,76.7,75,76.7
1644224400,76.7,78.05,76.45,77.95
1644226200,77.9,77.95,77.25,77.45
1644228000,77.45,77.85,77.3,77.75
1644229800,77.8,78.05,77.5,78.05
1644231600,78.05,78.75,77.85,78.7
1644233400,78.7,78.85,78.15,78.75
1644235200,78.75,79.55,78.55,78.8
1644237000,78.85,79.1,78.55,78.8
1644238800,78.9,79.1,78.5,78.65
1644240600,78.7,79.1,78.45,79.05
1644242400,79.05,79.2,78.7,79.15
1644244200,79.1,80.1,79,80.1
1644246000,80.5,80.5,80.5,80.5
1644301800,80.6,80.6,80.6,80.6
1644303600,80.6,80.65,79.9,80.45
1644305400,80.5,80.65,79.95,80.55
1644307200,80.55,81.25,80.4,80.7
1644309000,80.65,80.8,80.45,80.65
1644310800,80.65,80.8,80.45,80.45
1644312600,80.45,80.6,80.2,80.3
1644314400,80.25,80.35,80,80.35
1644316200,80.4,80.8,80.2,80.7
1644318000,80.8,80.8,79.8,80.15
1644319800,80.15,80.45,80,80.35
1644321600,80.4,80.5,80,80.45
1644323400,80.5,81.25,80.4,81.25
1644325200,81.25,81.35,80.8,81.25
1644327000,81.3,82,80.8,81.8
1644328800,81.8,83.95,81.7,83.2
1644330600,83.15,83.2,82,82.4
1644332400,82.5,82.5,82.5,82.5
1644388200,82.6,82.6,82.6,82.6
1644390000,82.65,83.3,82.55,82.75
1644391800,82.8,82.8,82.25,82.3
1644393600,82.35,82.8,82.3,82.4
1644395400,82.45,82.95,82.4,82.75
1644397200,82.8,83.3,82.75,83.05
1644399000,83,83.45,82.9,83.15
1644400800,83.2,83.25,82.9,83
1644402600,83.05,83.2,82.95,83.15
1644404400,83.1,83.15,82.8,83.05
1644406200,83.1,83.1,82.85,82.95
1644408000,82.9,83.05,82.5,82.65
1644409800,82.65,82.85,82.5,82.6
1644411600,82.65,82.7,82.25,82.35
1644413400,82.4,82.65,82.1,82.15
1644415200,82.15,82.4,82,82.4
1644417000,82.4,82.45,82.1,82.2
1644418800,82.2,82.2,82.2,82.2
1644474600,82.6,82.6,82.6,82.6
1644476400,82.5,83.2,82.4,83.15
1644478200,83.1,83.35,82.55,82.65
1644480000,82.65,82.7,82.35,82.5
1644481800,82.45,82.5,82,82.15
1644483600,82.15,82.5,82.1,82.5
1644485400,82.45,82.55,82.3,82.3
1644487200,82.3,82.35,82.05,82.3
1644489000,82.3,82.3,82.05,82.15
1644490800,82.2,82.4,82.05,82.3
1644492600,82.25,82.35,81.75,81.9
1644494400,81.9,82.05,81.55,82.05
1644496200,82.05,82.9,81.95,82.6
1644498000,82.6,82.85,82.4,82.6
1644499800,82.6,82.6,81.55,82.2
1644501600,82.2,82.55,81.85,81.95
1644503400,81.95,82.45,81.8,82.35
1644505200,82.3,82.3,82.3,82.3
1644561000,81.5,81.5,81.5,81.5
1644562800,81.5,82.3,81.25,82.1
1644564600,82.15,82.2,81.9,82
1644566400,81.95,82.1,81.65,81.7
1644568200,81.65,81.8,81.55,81.6
1644570000,81.6,81.7,80.7,81
1644571800,80.95,80.95,79.85,80
1644573600,80.05,80.05,79.4,79.8
1644575400,79.75,79.95,79.45,79.8
1644577200,79.75,80,79.65,79.7
1644579000,79.75,79.9,79.25,79.8
1644580800,79.8,80.2,79.75,80.15
1644582600,80.15,80.3,79.9,80.05
1644584400,80.05,80.75,79.95,80.3
1644586200,80.3,81.05,80.3,80.95
1644588000,81,82.45,80.85,81.6
1644589800,81.6,82.45,81.2,82.45
1644591600,82.4,82.4,82.4,82.4
1644820200,80.8,80.8,80.8,80.8
1644822000,80.75,80.8,79.9,80.05
1644823800,80,80.4,79.85,80.35
1644825600,80.35,80.6,79.9,79.95
1644827400,79.9,80.05,78.4,78.7
1644829200,78.7,79.45,78.2,79.4
1644831000,79.4,79.45,78.85,78.9
1644832800,78.9,79.65,78.6,79.55
1644834600,79.55,79.85,79.25,79.6
1644836400,79.65,79.75,79,79.45
1644838200,79.45,79.7,79.1,79.5
1644840000,79.5,79.55,78.7,79.1
1644841800,79.15,80.2,79.05,80.15
1644843600,80.15,80.85,80,80.5
1644845400,80.5,80.6,79.3,79.7
1644847200,79.7,80,79.35,79.5
1644849000,79.55,79.95,78.95,79.5
1644850800,79.25,79.25,79.25,79.25
1644906600,79.55,79.55,79.55,79.55
1644908400,79.6,80.2,79.55,79.9
1644910200,79.95,80.1,79.45,79.85
1644912000,79.9,80.9,79.8,80.8
1644913800,80.85,81,80.4,80.8
1644915600,80.8,80.85,80.6,80.75
1644917400,80.75,80.75,80.5,80.6
1644919200,80.6,80.7,80.45,80.6
1644921000,80.55,81.9,80.5,81.6
1644922800,81.6,82.3,81.5,81.95
1644924600,81.95,82.35,81.2,81.5
1644926400,81.5,81.95,81.4,81.95
1644928200,81.95,82,81.25,81.75
1644930000,81.7,81.85,81.25,81.65
1644931800,81.55,81.85,81.2,81.5
1644933600,81.5,81.75,80.85,81.4
1644935400,81.4,81.95,81.2,81.7
1644937200,81.7,81.7,81.7,81.7
1644993000,81.75,81.75,81.75,81.75
1644994800,81.75,82.65,81.7,82.65
1644996600,82.65,82.8,82.45,82.8
1644998400,82.8,83.65,82.7,83.6
