time,open,high,low,close
1641191400,28.6,28.6,28.6,28.6
1641193200,28.6,28.66,28.2,28.44
1641195000,28.44,29.02,28.44,28.92
1641196800,28.94,29.36,28.92,29.32
1641198600,29.32,29.44,29.24,29.3
1641200400,29.3,29.6,29.24,29.54
1641202200,29.54,29.92,29.48,29.84
1641204000,29.84,30.22,29.64,30.08
1641205800,30.08,30.12,29.86,29.94
1641207600,29.96,30.06,29.84,29.9
1641209400,29.9,30.02,29.8,29.9
1641211200,29.94,30.16,29.9,29.94
1641213000,29.94,29.98,29.76,29.8
1641214800,29.82,29.96,29.76,29.82
1641216600,29.86,29.94,29.72,29.86
1641218400,29.86,29.92,29.7,29.82
1641220200,29.82,30.24,29.82,30.2
1641222000,30.26,30.26,30.26,30.26
1641277800,30.46,30.46,30.46,30.46
1641279600,30.46,30.92,30.4,30.84
1641281400,30.86,30.96,30.74,30.94
1641283200,30.94,30.96,30.68,30.76
1641285000,30.76,30.94,30.56,30.92
1641286800,30.92,30.94,30.74,30.84
1641288600,30.84,30.92,30.7,30.78
1641290400,30.78,30.9,30.68,30.84
1641292200,30.82,30.92,30.64,30.72
1641294000,30.72,30.8,30.68,30.76
1641295800,30.8,30.8,30.64,30.72
1641297600,30.7,30.8,30.7,30.72
1641299400,30.7,30.74,30.24,30.44
1641301200,30.42,30.5,30.06,30.5
1641303000,30.52,30.52,30.08,30.28
1641304800,30.28,30.52,30.1,30.46
1641306600,30.46,30.6,30.38,30.56
1641308400,30.58,30.58,30.56,30.56
1641364200,30.56,30.56,30.56,30.56
1641366000,30.54,30.82,30.16,30.7
1641367800,30.72,30.78,30.48,30.48
1641369600,30.52,30.64,30.34,30.6
1641371400,30.6,30.76,30.58,30.64
1641373200,30.62,30.86,30.6,30.7
1641375000,30.7,30.74,30.42,30.48
1641376800,30.48,30.54,30.32,30.36
1641378600,30.36,30.56,30.34,30.5
1641380400,30.5,30.82,30.5,30.8
1641382200,30.82,30.88,30.76,30.82
1641384000,30.82,31.06,30.82,30.92
1641385800,30.92,30.98,30.82,30.88
1641387600,30.88,31.24,30.88,31.22
1641389400,31.22,31.24,31.02,31.12
1641391200,31.12,31.34,31.08,31.12
1641393000,31.12,31.38,31.04,31.34
1641394800,31.42,31.42,31.42,31.42
1641450600,31,31,31,31
1641452400,31.02,31.74,30.92,31.74
1641454200,31.72,31.76,31.46,31.6
1641456000,31.62,32.34,31.62,32.18
1641457800,32.18,32.3,31.92,32.12
1641459600,32.12,32.2,31.98,32.12
1641461400,32.12,32.16,32,32.1
1641463200,32.12,32.16,31.78,31.98
1641465000,31.96,32.12,31.96,32.1
1641466800,32.12,32.14,31.94,32.1
1641468600,32.08,32.28,32.04,32.1
1641470400,32.1,32.4,32.04,32.16
1641472200,32.14,32.38,32.14,32.28
1641474000,32.28,32.38,32.16,32.26
1641475800,32.22,32.4,32.12,32.28
1641477600,32.28,32.28,32.06,32.08
1641479400,32.08,32.26,32,32.2
1641481200,32.08,32.08,32.08,32.08
1641537000,32.32,32.32,32.32,32.32
1641538800,32.32,32.66,32.32,32.52
1641540600,32.52,32.54,32.38,32.4
1641542400,32.4,32.48,32.14,32.3
1641544200,32.3,32.36,32.18,32.32
1641546000,32.32,32.46,32.3,32.4
1641547800,32.4,32.48,32.38,32.48
1641549600,32.46,32.48,32.4,32.46
1641551400,32.46,32.5,32.34,32.44
1641553200,32.42,32.46,31.92,31.96
1641555000,31.94,32.14,31.46,32.12
1641556800,32.14,32.2,31.9,32
1641558600,32,32.04,31.84,32
1641560400,31.98,32.16,31.92,32.1
1641562200,32.08,32.14,31.82,32.02
1641564000,32.02,32.44,32.02,32.34
1641565800,32.34,32.78,32.24,32.78
1641567600,32.78,32.78,32.78,32.78
1641796200,33,33,33,33
1641798000,32.98,33.22,32.8,33.16
1641799800,33.16,33.16,32.94,32.98
1641801600,32.98,33.02,32.9,33
1641803400,33.02,33.06,32.88,32.88
1641805200,32.88,33,32.84,32.94
1641807000,32.96,32.96,32.7,32.76
1641808800,32.74,32.84,32.72,32.8
1641810600,32.8,32.82,32.76,32.78
1641812400,32.78,32.84,32.68,32.82
1641814200,32.82,32.86,32.78,32.84
1641816000,32.84,32.9,32.74,32.82
1641817800,32.82,33,32.78,32.96
1641819600,32.96,32.98,32.88,32.98
1641821400,32.96,33,32.88,32.92
1641823200,32.94,32.94,32.82,32.84
1641825000,32.84,32.9,32.56,32.58
1641826800,32.64,32.64,32.64,32.64
1641882600,32.9,32.9,32.9,32.9
1641884400,32.92,33,32.46,32.64
1641886200,32.64,32.74,32.26,32.32
1641888000,32.32,32.48,32.16,32.3
1641889800,32.3,32.38,32.04,32.08
1641891600,32.08,32.08,31.82,32.04
1641893400,32.04,32.26,32.04,32.22
1641895200,32.22,32.46,32.22,32.44
1641897000,32.42,32.44,32.24,32.36
1641898800,32.34,32.4,32.26,32.32
1641900600,32.32,32.5,32.2,32.46
1641902400,32.46,32.68,32.46,32.58
1641904200,32.58,33,32.58,32.88
1641906000,32.88,32.98,32.8,32.92
1641907800,32.92,32.96,32.78,32.86
1641909600,32.86,32.96,32.62,32.78
1641911400,32.8,32.82,32.44,32.56
1641913200,32.82,32.82,32.82,32.82
1641969000,33.18,33.18,33.18,33.18
1641970800,33.18,33.58,33.08,33.5
1641972600,33.52,33.58,33.24,33.34
1641974400,33.34,33.42,33.18,33.3
1641976200,33.28,33.34,33.08,33.24
1641978000,33.24,33.3,33.1,33.1
1641979800,33.1,33.26,33.06,33.18
1641981600,33.18,33.34,33.16,33.3
1641983400,33.28,33.36,33.16,33.2
1641985200,33.2,33.2,32.94,32.96
1641987000,32.96,33.2,32.92,33.04
1641988800,33.06,33.06,32.74,32.92
1641990600,32.92,32.94,32.7,32.72
1641992400,32.74,32.82,32.5,32.76
