time,open,high,low,close
1641191400,9.3,9.3,9.3,9.3
1641193200,9.3,9.37,9.12,9.14
1641195000,9.15,9.31,9.14,9.31
1641196800,9.31,9.36,9.29,9.35
1641198600,9.35,9.44,9.34,9.4
1641200400,9.4,9.44,9.37,9.42
1641202200,9.43,9.45,9.4,9.43
1641204000,9.43,9.44,9.37,9.4
1641205800,9.41,9.42,9.39,9.42
1641207600,9.42,9.43,9.3,9.33
1641209400,9.33,9.4,9.31,9.37
1641211200,9.37,9.41,9.35,9.39
1641213000,9.4,9.42,9.34,9.36
1641214800,9.37,9.39,9.35,9.36
1641216600,9.37,9.38,9.3,9.36
1641218400,9.36,9.37,9.33,9.35
1641220200,9.35,9.46,9.33,9.43
1641222000,9.46,9.46,9.46,9.46
1641277800,9.63,9.63,9.63,9.63
1641279600,9.64,9.81,9.59,9.81
1641281400,9.8,9.97,9.78,9.91
1641283200,9.92,9.94,9.82,9.85
1641285000,9.85,9.88,9.81,9.84
1641286800,9.83,9.84,9.78,9.82
1641288600,9.82,9.84,9.77,9.78
1641290400,9.77,9.84,9.77,9.81
1641292200,9.81,9.84,9.74,9.76
1641294000,9.76,9.84,9.76,9.83
1641295800,9.84,9.84,9.78,9.81
1641297600,9.8,9.85,9.78,9.78
1641299400,9.79,9.79,9.5,9.67
1641301200,9.67,9.67,9.51,9.67
1641303000,9.67,9.67,9.54,9.59
1641304800,9.59,9.68,9.52,9.67
1641306600,9.66,9.83,9.62,9.83
1641308400,9.84,9.84,9.84,9.84
1641364200,9.86,9.86,9.86,9.86
1641366000,9.86,9.95,9.78,9.86
1641367800,9.87,9.89,9.79,9.8
1641369600,9.8,9.83,9.78,9.8
1641371400,9.8,9.88,9.79,9.82
1641373200,9.83,9.88,9.82,9.85
1641375000,9.85,9.87,9.8,9.82
1641376800,9.81,9.83,9.79,9.8
1641378600,9.8,9.83,9.78,9.83
1641380400,9.83,9.86,9.82,9.84
1641382200,9.84,9.87,9.83,9.87
1641384000,9.86,9.89,9.85,9.86
1641385800,9.87,9.89,9.85,9.88
1641387600,9.89,10.01,9.88,9.98
1641389400,9.98,10,9.91,9.95
1641391200,9.95,10.13,9.94,10.1
1641393000,10.1,10.31,10.05,10.3
1641394800,10.3,10.3,10.3,10.3
1641450600,10.2,10.2,10.2,10.2
1641452400,10.2,10.33,10.11,10.28
1641454200,10.28,10.29,10.18,10.28
1641456000,10.28,10.42,10.28,10.29
1641457800,10.3,10.32,10.24,10.27
1641459600,10.28,10.31,10.25,10.28
1641461400,10.28,10.29,10.25,10.27
1641463200,10.27,10.31,10.22,10.25
1641465000,10.25,10.29,10.25,10.27
1641466800,10.27,10.28,10.24,10.27
1641468600,10.27,10.43,10.27,10.41
1641470400,10.41,10.48,10.4,10.46
1641472200,10.46,10.5,10.42,10.5
1641474000,10.5,10.56,10.46,10.49
1641475800,10.49,10.55,10.43,10.52
1641477600,10.53,10.54,10.47,10.49
1641479400,10.49,10.67,10.42,10.57
1641481200,10.59,10.59,10.59,10.59
1641537000,10.64,10.64,10.64,10.64
1641538800,10.64,10.95,10.61,10.94
1641540600,10.94,10.96,10.83,10.92
1641542400,10.92,10.96,10.83,10.93
1641544200,10.92,11.14,10.9,11.09
1641546000,11.1,11.16,11.06,11.13
1641547800,11.13,11.19,11.13,11.17
1641549600,11.18,11.33,11.13,11.33
1641551400,11.33,11.39,11.29,11.33
1641553200,11.34,11.34,11.11,11.19
1641555000,11.19,11.37,11.13,11.33
1641556800,11.32,11.34,11.2,11.21
1641558600,11.22,11.26,11.16,11.25
1641560400,11.25,11.26,11.17,11.24
1641562200,11.24,11.35,11.24,11.32
1641564000,11.32,11.41,11.28,11.3
1641565800,11.31,11.63,11.24,11.62
1641567600,11.6,11.6,11.6,11.6
1641796200,11.75,11.75,11.75,11.75
1641798000,11.75,11.99,11.67,11.92
1641799800,11.92,12.01,11.86,11.95
1641801600,11.95,11.96,11.78,11.81
1641803400,11.81,11.85,11.75,11.8
1641805200,11.81,11.87,11.8,11.83
1641807000,11.83,11.84,11.81,11.83
1641808800,11.82,11.84,11.81,11.83
1641810600,11.83,11.87,11.77,11.78
1641812400,11.79,11.8,11.71,11.79
1641814200,11.8,11.84,11.76,11.83
1641816000,11.83,11.84,11.78,11.78
1641817800,11.79,11.83,11.76,11.8
1641819600,11.8,11.82,11.78,11.81
1641821400,11.82,11.84,11.78,11.82
1641823200,11.81,11.87,11.79,11.8
1641825000,11.81,11.86,11.57,11.59
1641826800,11.59,11.59,11.55,11.55
1641882600,11.87,11.87,11.87,11.87
1641884400,11.87,12.39,11.83,12.31
1641886200,12.31,12.41,12.23,12.32
1641888000,12.32,12.43,12.28,12.34
1641889800,12.34,12.35,12.24,12.25
1641891600,12.26,12.31,12.21,12.29
1641893400,12.3,12.44,12.28,12.4
1641895200,12.4,12.49,12.39,12.48
1641897000,12.49,12.61,12.47,12.51
1641898800,12.51,12.53,12.42,12.45
1641900600,12.46,12.53,12.44,12.5
1641902400,12.5,12.58,12.49,12.56
1641904200,12.57,12.58,12.48,12.52
1641906000,12.52,12.55,12.44,12.46
1641907800,12.47,12.58,12.44,12.56
1641909600,12.56,12.59,12.48,12.54
1641911400,12.55,12.66,12.43,12.63
1641913200,12.62,12.64,12.62,12.64
1641969000,12.82,12.82,12.82,12.82
1641970800,12.83,13.23,12.74,13.18
1641972600,13.18,13.25,13.02,13.08
1641974400,13.07,13.14,12.99,13.02
1641976200,13.02,13.02,12.8,12.83
1641978000,12.83,12.84,12.65,12.79
1641979800,12.79,12.87,12.76,12.78
1641981600,12.79,12.87,12.76,12.77
1641983400,12.76,12.84,12.74,12.8
1641985200,12.8,12.84,12.75,12.75
1641987000,12.75,12.78,12.68,12.71
1641988800,12.71,12.76,12.64,12.74
1641990600,12.75,12.82,12.72,12.81
1641992400,12.82,12.93,12.76,12.9
1641994200,12.89,13.01,12.88,12.97
1641996000,12.97,13.21,12.92,12.97
1641997800,12.98,13.21,12.96,13.07
1641999600,13.07,13.09,13.05,13.05
1642055400,12.95,12.95,12.95,12.95
1642057200,12.96,13.24,12.89,12.95
1642059000,12.95,13.07,12.79,13.03
1642060800,13.04,13.17,12.99,13.16
1642062600,13.16,13.31,13.12,13.27
1642064400,13.27,13.34,13.24,13.25
1642066200,13.26,13.29,13.17,13.23
1642068000,13.22,13.26,13.2,13.21
1642069800,13.22,13.32,13.21,13.3
1642071600,13.3,13.33,13.21,13.28
1642073400,13.28,13.31,13.23,13.26
1642075200,13.26,13.28,13.25,13.27
1642077000,13.27,13.33,13.25,13.27
1642078800,13.27,13.29,13.21,13.22
1642080600,13.22,13.56,13.21,13.52
1642082400,13.52,13.71,13.47,13.47
1642084200,13.47,13.62,13.26,13.28
1642086000,13.28,13.35,13.28,13.35
1642141800,13.36,13.36,13.36,13.36
1642143600,13.36,13.39,13.1,13.22
1642145400,13.22,13.32,13.2,13.29
1642147200,13.28,13.36,13.25,13.3
1642149000,13.3,13.3,13.19,13.23
1642150800,13.23,13.37,13.22,13.36
1642152600,13.36,13.36,13.26,13.28
1642154400,13.27,13.34,13.21,13.32
1642156200,13.32,13.54,13.32,13.52
1642158000,13.51,13.53,13.45,13.48
1642159800,13.48,13.49,13.41,13.43
