time,open,high,low,close
1641191400,37.96,37.96,37.96,37.96
1641193200,37.98,38.74,37.82,38.72
1641195000,38.72,39.38,38.66,39.28
1641196800,39.28,39.28,38.7,38.8
1641198600,38.8,39.06,38.8,39.02
1641200400,39.02,39.06,38.9,39.06
1641202200,39.02,39.08,38.96,39.04
1641204000,39.06,39.1,39,39.04
1641205800,39.06,39.1,38.98,39.02
1641207600,39.02,39.04,38.8,38.84
1641209400,38.84,38.96,38.78,38.92
1641211200,38.9,38.96,38.86,38.88
1641213000,38.88,38.92,38.8,38.82
1641214800,38.82,38.86,38.76,38.76
1641216600,38.74,38.8,38.6,38.72
1641218400,38.7,38.86,38.7,38.74
1641220200,38.76,39.06,38.76,39
1641222000,39.1,39.1,39.1,39.1
1641277800,39.5,39.5,39.5,39.5
1641279600,39.48,39.86,39.18,39.8
1641281400,39.8,40.16,39.72,40.16
1641283200,40.16,40.4,40.02,40.08
1641285000,40.06,40.12,39.8,40.06
1641286800,40.04,40.2,39.94,40.18
1641288600,40.16,40.42,40.16,40.32
1641290400,40.3,40.82,40.26,40.72
1641292200,40.72,40.78,40.28,40.4
1641294000,40.4,40.76,40.4,40.68
1641295800,40.66,40.78,40.62,40.7
1641297600,40.7,40.96,40.7,40.84
1641299400,40.84,41,40.32,40.8
1641301200,40.82,41.36,40.3,41.26
1641303000,41.24,41.56,40.76,41.14
1641304800,41.14,41.84,41,41.64
1641306600,41.62,42.5,41.26,42.5
1641308400,43,43,43,43
1641364200,43.5,43.5,43.5,43.5
1641366000,43.5,44.3,43.26,43.78
1641367800,43.78,43.8,43.4,43.4
1641369600,43.4,43.48,42.68,42.78
1641371400,42.78,43.3,42.76,43.08
1641373200,43.06,43.32,42.98,43.08
1641375000,43.06,43.22,43,43.02
1641376800,43,43.08,42.74,42.76
1641378600,42.74,42.88,42.68,42.86
1641380400,42.86,43.18,42.86,43.08
1641382200,43.08,43.1,42.94,43.08
1641384000,43.06,43.18,42.92,42.94
1641385800,42.94,42.94,42.8,42.9
1641387600,42.9,43.12,42.9,43.06
1641389400,43.06,43.08,42.7,42.84
1641391200,42.84,43.04,42.82,43
1641393000,43,43.06,42.66,42.74
1641394800,42.74,42.74,42.74,42.74
1641450600,42.62,42.62,42.62,42.62
1641452400,42.6,43.16,41.86,42.72
1641454200,42.7,42.76,42.4,42.54
1641456000,42.54,42.88,42.52,42.54
1641457800,42.54,42.62,42.34,42.48
1641459600,42.48,42.6,42.4,42.46
1641461400,42.46,42.54,42.44,42.44
1641463200,42.44,42.5,42.32,42.36
1641465000,42.36,42.52,42.32,42.4
1641466800,42.42,42.44,42.32,42.36
1641468600,42.36,42.42,42.34,42.36
1641470400,42.36,42.42,42.32,42.34
1641472200,42.34,42.44,42.3,42.34
1641474000,42.34,42.42,42.32,42.34
1641475800,42.34,42.42,42.28,42.4
1641477600,42.4,42.9,42.38,42.78
1641479400,42.76,43.24,42.58,42.88
1641481200,42.9,42.9,42.9,42.9
1641537000,43.2,43.2,43.2,43.2
1641538800,43.2,43.64,43.2,43.4
1641540600,43.42,43.42,43.02,43.28
1641542400,43.28,43.28,42.7,42.86
1641544200,42.88,42.96,42.84,42.92
1641546000,42.94,43.04,42.86,43
1641547800,43,43.06,42.98,43.02
1641549600,43.02,43.06,42.92,43
1641551400,42.98,43.16,42.9,43.16
1641553200,43.14,43.64,43.02,43.18
1641555000,43.18,43.18,42.78,43.08
1641556800,43.08,43.32,42.96,43.26
1641558600,43.26,43.44,43.02,43.38
1641560400,43.38,43.56,43.34,43.4
1641562200,43.42,43.44,43.1,43.22
1641564000,43.22,43.46,43.2,43.26
1641565800,43.26,43.5,43.18,43.48
1641567600,43.52,43.52,43.52,43.52
1641796200,43.76,43.76,43.76,43.76
1641798000,43.78,43.8,43.26,43.36
1641799800,43.34,43.68,43.3,43.54
1641801600,43.56,43.78,43.44,43.62
1641803400,43.62,43.64,43.32,43.34
1641805200,43.34,43.44,43.32,43.44
1641807000,43.44,43.46,43.38,43.4
1641808800,43.4,43.4,43.2,43.24
1641810600,43.26,43.38,43.24,43.32
1641812400,43.3,43.36,43.28,43.34
1641814200,43.32,43.36,43.26,43.26
1641816000,43.26,43.4,43.26,43.4
1641817800,43.36,43.46,43.32,43.46
1641819600,43.44,43.44,43.38,43.4
1641821400,43.4,43.42,43.32,43.42
1641823200,43.4,43.42,43.36,43.4
1641825000,43.4,43.4,43.14,43.14
1641826800,43,43,43,43
1641882600,43.38,43.38,43.38,43.38
1641884400,43.34,43.38,42.8,43.14
1641886200,43.12,43.14,42.8,43.1
1641888000,43.12,43.8,43.12,43.48
1641889800,43.48,43.64,43.04,43.16
1641891600,43.12,43.3,43,43.26
1641893400,43.26,43.42,43.26,43.4
1641895200,43.4,43.48,43.24,43.32
1641897000,43.32,43.34,43,43.16
1641898800,43.16,43.16,42.92,42.96
1641900600,42.96,43.08,42.8,43.08
1641902400,43.08,43.12,42.86,42.94
1641904200,42.94,43.1,42.9,42.92
1641906000,42.92,43.02,42.92,43
1641907800,43,43,42.74,42.84
1641909600,42.84,43,42.8,42.94
1641911400,42.96,42.96,42.66,42.7
1641913200,42.6,42.6,42.6,42.6
1641969000,42.9,42.9,42.9,42.9
1641970800,42.9,43,42.82,42.94
1641972600,42.94,43.64,42.92,43.46
1641974400,43.46,43.8,43.46,43.54
1641976200,43.54,43.88,43.44,43.72
1641978000,43.74,44.14,43.72,44.04
1641979800,44.06,44.56,43.82,44.32
1641981600,44.32,44.72,44.32,44.66
1641983400,44.62,44.7,44.5,44.58
1641985200,44.58,44.66,44.08,44.18
1641987000,44.16,44.36,43.68,43.94
1641988800,43.94,44.08,43.56,43.84
1641990600,43.86,43.98,43.78,43.86
1641992400,43.86,43.9,43.66,43.84
1641994200,43.84,43.94,43.68,43.92
1641996000,43.9,43.94,43.56,43.72
1641997800,43.72,43.9,43.64,43.74
1641999600,43.7,43.7,43.7,43.7
1642055400,43.54,43.54,43.54,43.54
1642057200,43.54,43.84,43.42,43.46
1642059000,43.46,43.8,43.32,43.8
1642060800,43.8,43.84,43.54,43.66
1642062600,43.68,43.8,43.5,43.5
1642064400,43.5,43.58,43.44,43.46
1642066200,43.46,43.5,43.3,43.34
1642068000,43.36,43.5,43.32,43.42
1642069800,43.42,43.44,43.32,43.34
1642071600,43.34,43.36,43.24,43.26
1642073400,43.26,43.36,43.22,43.34
1642075200,43.32,43.34,43.16,43.22
1642077000,43.22,43.3,43.18,43.26
1642078800,43.26,43.46,43.08,43.08
1642080600,43.12,43.18,42.8,42.8
1642082400,42.84,43.04,42.64,42.94
1642084200,42.94,43.02,42.88,42.94
1642086000,42.94,42.94,42.94,42.94
1642141800,42.9,42.9,42.9,42.9
1642143600,42.88,43.5,42.78,43.48
1642145400,43.46,43.66,43.34,43.46
1642147200,43.46,43.5,43.28,43.5
1642149000,43.5,43.62,43.38,43.38
1642150800,43.36,43.38,43.3,43.34
1642152600,43.3,43.32,43.2,43.26
1642154400,43.24,43.24,43.02,43.08
1642156200,43.06,43.16,42.9,43.1
1642158000,43.1,43.2,42.94,43.08
1642159800,43.08,43.14,43,43.06
1642161600,43.04,43.08,42.94,42.96
1642163400,42.94,43.04,42.88,43.02
1642165200,43.02,43.02,42.8,42.96
1642167000,42.94,43.06,42.74,42.8
1642168800,42.8,43.02,42.78,42.96
1642170600,42.94,42.96,42.74,42.9
1642172400,42.86,42.86,42.86,42.86
1642401000,43.06,43.06,43.06,43.06
1642402800,43.06,43.32,43,43.06
1642404600,43.08,43.48,43.06,43.36
1642406400,43.34,43.6,43.26,43.38
1642408200,43.38,43.46,43.36,43.44
1642410000,43.44,43.5,43.26,43.32
1642411800,43.32,43.72,43.24,43.7
1642413600,43.68,43.8,43.42,43.48
1642415400,43.48,43.92,43.48,43.8
