time,open,high,low,close
1641191400,7.84,7.84,7.84,7.84
1641193200,7.85,7.93,7.82,7.83
1641195000,7.84,7.97,7.83,7.95
1641196800,7.96,7.96,7.92,7.94
1641198600,7.94,7.98,7.93,7.96
1641200400,7.96,7.99,7.95,7.99
1641202200,7.99,8.01,7.96,8
1641204000,8.01,8.01,7.95,7.98
1641205800,7.98,7.99,7.95,7.98
1641207600,7.98,7.99,7.92,7.95
1641209400,7.95,7.98,7.93,7.98
1641211200,7.98,7.99,7.96,7.98
1641213000,7.98,8,7.96,7.97
1641214800,7.97,7.98,7.96,7.97
1641216600,7.97,7.99,7.94,7.96
1641218400,7.96,7.99,7.92,7.97
1641220200,7.97,8.07,7.97,8.07
1641222000,8.08,8.08,8.08,8.08
1641277800,8.14,8.14,8.14,8.14
1641279600,8.15,8.29,8.12,8.27
1641281400,8.27,8.29,8.24,8.26
1641283200,8.27,8.28,8.22,8.24
1641285000,8.24,8.27,8.23,8.25
1641286800,8.24,8.26,8.22,8.24
1641288600,8.24,8.27,8.2,8.22
1641290400,8.21,8.24,8.19,8.23
1641292200,8.23,8.25,8.17,8.19
1641294000,8.19,8.24,8.18,8.23
1641295800,8.23,8.24,8.19,8.21
1641297600,8.21,8.26,8.21,8.22
1641299400,8.22,8.23,8,8.1
1641301200,8.1,8.1,7.98,8.09
1641303000,8.09,8.1,8.03,8.06
1641304800,8.06,8.12,8.01,8.11
1641306600,8.11,8.2,8.07,8.18
1641308400,8.18,8.19,8.18,8.19
1641364200,8.2,8.2,8.2,8.2
1641366000,8.2,8.26,8.11,8.2
1641367800,8.2,8.28,8.18,8.23
1641369600,8.22,8.31,8.21,8.28
1641371400,8.29,8.34,8.27,8.34
1641373200,8.33,8.44,8.32,8.4
1641375000,8.4,8.42,8.37,8.39
1641376800,8.38,8.4,8.35,8.37
1641378600,8.36,8.49,8.36,8.48
1641380400,8.48,8.66,8.47,8.57
1641382200,8.57,8.62,8.53,8.6
1641384000,8.6,8.62,8.56,8.59
1641385800,8.6,8.62,8.57,8.61
1641387600,8.61,8.73,8.61,8.72
1641389400,8.73,8.75,8.7,8.71
1641391200,8.71,8.89,8.6,8.85
1641393000,8.84,8.87,8.76,8.83
1641394800,8.83,8.84,8.83,8.84
1641450600,8.78,8.78,8.78,8.78
1641452400,8.77,9.18,8.72,9.17
1641454200,9.18,9.19,9.09,9.15
1641456000,9.15,9.21,9.05,9.09
1641457800,9.09,9.14,9.03,9.12
1641459600,9.13,9.15,9.1,9.11
1641461400,9.11,9.13,9.07,9.1
1641463200,9.1,9.12,9.05,9.09
