time,open,high,low,close
1641191400,13.41,13.41,13.41,13.41
1641193200,13.42,13.49,13.31,13.35
1641195000,13.35,13.58,13.35,13.57
1641196800,13.56,13.64,13.54,13.55
1641198600,13.56,13.61,13.53,13.58
1641200400,13.58,13.65,13.58,13.63
1641202200,13.64,13.67,13.6,13.67
1641204000,13.67,13.7,13.56,13.65
1641205800,13.65,13.67,13.61,13.63
1641207600,13.64,13.66,13.51,13.55
1641209400,13.55,13.63,13.53,13.62
1641211200,13.62,13.66,13.6,13.63
1641213000,13.62,13.67,13.57,13.58
1641214800,13.57,13.65,13.57,13.62
1641216600,13.63,13.67,13.55,13.58
1641218400,13.58,13.61,13.55,13.58
1641220200,13.58,13.7,13.56,13.7
1641222000,13.7,13.7,13.7,13.7
1641277800,13.83,13.83,13.83,13.83
1641279600,13.83,13.93,13.8,13.91
1641281400,13.9,13.99,13.83,13.97
1641283200,13.97,13.99,13.87,13.94
1641285000,13.94,13.98,13.9,13.94
1641286800,13.94,13.96,13.89,13.95
1641288600,13.96,13.99,13.89,13.91
1641290400,13.91,13.97,13.89,13.96
1641292200,13.95,14.06,13.92,13.94
1641294000,13.93,14.02,13.92,14
1641295800,14,14,13.89,13.92
1641297600,13.92,13.95,13.91,13.93
1641299400,13.93,13.93,13.65,13.76
1641301200,13.76,13.82,13.55,13.81
1641303000,13.81,13.82,13.66,13.71
1641304800,13.7,13.78,13.63,13.77
1641306600,13.77,13.93,13.71,13.91
1641308400,13.89,13.89,13.89,13.89
1641364200,13.86,13.86,13.86,13.86
1641366000,13.86,13.93,13.79,13.87
1641367800,13.87,13.9,13.82,13.83
1641369600,13.83,13.86,13.69,13.83
1641371400,13.82,13.91,13.82,13.86
1641373200,13.87,14,13.86,13.9
1641375000,13.91,13.92,13.81,13.85
1641376800,13.84,13.87,13.82,13.83
1641378600,13.83,13.88,13.82,13.87
1641380400,13.87,13.92,13.87,13.91
1641382200,13.91,13.95,13.88,13.94
1641384000,13.94,14.05,13.91,13.97
1641385800,13.98,14,13.95,13.99
1641387600,13.99,14.14,13.99,14.13
1641389400,14.13,14.13,14.01,14.06
1641391200,14.07,14.17,14.06,14.11
1641393000,14.11,14.29,14.11,14.25
1641394800,14.2,14.2,14.2,14.2
1641450600,14.19,14.19,14.19,14.19
1641452400,14.18,14.42,14.07,14.34
1641454200,14.35,14.44,14.3,14.43
1641456000,14.43,14.58,14.42,14.49
1641457800,14.48,14.66,14.44,14.52
1641459600,14.52,14.62,14.5,14.61
1641461400,14.61,14.62,14.53,14.55
1641463200,14.55,14.56,14.46,14.53
1641465000,14.52,14.56,14.51,14.54
1641466800,14.54,14.55,14.44,14.46
1641468600,14.46,14.56,14.46,14.52
1641470400,14.52,14.59,14.5,14.53
1641472200,14.53,14.6,14.51,14.59
1641474000,14.6,14.62,14.55,14.6
1641475800,14.6,14.67,14.56,14.66
1641477600,14.66,14.67,14.6,14.6
1641479400,14.6,14.63,14.54,14.57
1641481200,14.6,14.6,14.6,14.6
1641537000,14.66,14.66,14.66,14.66
1641538800,14.67,14.84,14.67,14.83
1641540600,14.83,14.84,14.73,14.81
1641542400,14.8,14.86,14.64,14.73
1641544200,14.73,14.75,14.66,14.72
1641546000,14.71,14.81,14.69,14.81
1641547800,14.81,14.93,14.81,14.85
1641549600,14.84,14.88,14.8,14.84
1641551400,14.84,14.87,14.78,14.83
1641553200,14.84,14.85,14.66,14.66
1641555000,14.67,14.69,14.5,14.67
1641556800,14.68,14.7,14.52,14.53
1641558600,14.53,14.54,14.46,14.52
1641560400,14.52,14.56,14.48,14.55
1641562200,14.55,14.58,14.51,14.57
1641564000,14.57,14.66,14.56,14.61
1641565800,14.6,14.83,14.58,14.82
1641567600,14.81,14.81,14.81,14.81
1641796200,15,15,15,15
1641798000,15.01,15.17,14.99,15.14
1641799800,15.15,15.16,15.03,15.06
1641801600,15.06,15.12,15.03,15.11
1641803400,15.11,15.16,15.06,15.06
