time,open,high,low,close
1641191400,13.43,13.43,13.43,13.43
1641193200,13.43,13.6,13.33,13.42
1641195000,13.43,13.62,13.42,13.6
1641196800,13.6,13.75,13.56,13.7
1641198600,13.7,13.73,13.63,13.68
1641200400,13.68,13.75,13.66,13.74
1641202200,13.74,13.82,13.68,13.8
1641204000,13.8,13.81,13.67,13.69
1641205800,13.7,13.73,13.66,13.72
1641207600,13.71,13.73,13.58,13.59
1641209400,13.59,13.68,13.55,13.64
1641211200,13.64,13.69,13.62,13.64
1641213000,13.64,13.72,13.63,13.67
1641214800,13.67,13.7,13.63,13.64
1641216600,13.64,13.67,13.61,13.66
1641218400,13.65,13.71,13.65,13.69
1641220200,13.69,13.88,13.68,13.87
1641222000,13.87,13.87,13.86,13.86
1641277800,14.2,14.2,14.2,14.2
1641279600,14.21,14.29,14.12,14.26
1641281400,14.26,14.5,14.25,14.39
1641283200,14.4,14.43,14.26,14.36
1641285000,14.37,14.37,14.28,14.31
1641286800,14.31,14.32,14.24,14.29
1641288600,14.29,14.32,14.22,14.23
1641290400,14.22,14.28,14.2,14.27
1641292200,14.26,14.32,14.16,14.18
1641294000,14.18,14.25,14.18,14.25
1641295800,14.24,14.25,14.19,14.22
1641297600,14.22,14.29,14.21,14.26
1641299400,14.25,14.26,13.94,14.04
1641301200,14.04,14.04,13.86,13.97
1641303000,13.98,13.98,13.89,13.95
1641304800,13.95,14.06,13.89,14.05
1641306600,14.05,14.26,13.95,14.25
1641308400,14.26,14.26,14.26,14.26
1641364200,14.26,14.26,14.26,14.26
1641366000,14.26,14.26,13.99,14.12
1641367800,14.12,14.16,14.06,14.09
1641369600,14.09,14.13,14.05,14.09
1641371400,14.09,14.16,14.08,14.11
1641373200,14.11,14.17,14.09,14.11
1641375000,14.11,14.15,14.09,14.1
1641376800,14.11,14.11,14.06,14.07
1641378600,14.07,14.12,14.05,14.12
1641380400,14.12,14.15,14.11,14.14
1641382200,14.14,14.15,14.11,14.14
1641384000,14.14,14.2,14.12,14.18
1641385800,14.17,14.23,14.14,14.21
1641387600,14.21,14.35,14.19,14.34
1641389400,14.34,14.43,14.27,14.39
1641391200,14.39,14.48,14.36,14.38
1641393000,14.39,14.53,14.37,14.42
1641394800,14.41,14.41,14.41,14.41
1641450600,14.26,14.26,14.26,14.26
1641452400,14.25,14.58,14.22,14.56
1641454200,14.56,14.57,14.45,14.56
1641456000,14.55,14.69,14.54,14.56
1641457800,14.57,14.64,14.49,14.62
1641459600,14.61,14.65,14.55,14.6
1641461400,14.59,14.64,14.55,14.62
1641463200,14.63,14.67,14.55,14.57
1641465000,14.57,14.63,14.57,14.6
1641466800,14.61,14.61,14.55,14.58
1641468600,14.58,14.74,14.57,14.66
1641470400,14.67,14.77,14.65,14.7
1641472200,14.71,14.79,14.7,14.78
1641474000,14.77,14.95,14.75,14.83
1641475800,14.84,14.91,14.78,14.85
1641477600,14.86,14.9,14.8,14.82
1641479400,14.82,14.99,14.72,14.88
1641481200,14.85,14.85,14.85,14.85
1641537000,14.92,14.92,14.92,14.92
1641538800,14.92,15.06,14.92,15.05
1641540600,15.04,15.06,14.99,15.05
1641542400,15.05,15.05,14.91,14.94
1641544200,14.93,15.01,14.92,14.95
1641546000,14.95,15.05,14.95,14.98
1641547800,14.98,15,14.94,14.97
1641549600,14.96,14.97,14.93,14.96
1641551400,14.96,14.96,14.84,14.91
1641553200,14.91,14.94,14.71,14.79
1641555000,14.79,14.85,14.58,14.83
1641556800,14.82,14.84,14.72,14.74
1641558600,14.74,14.76,14.67,14.73
1641560400,14.73,14.77,14.7,14.74
1641562200,14.74,14.77,14.69,14.73
1641564000,14.73,14.91,14.71,14.84
1641565800,14.83,14.91,14.77,14.86
1641567600,14.86,14.86,14.86,14.86
1641796200,14.95,14.95,14.95,14.95
1641798000,14.96,15.12,14.93,15.07
1641799800,15.07,15.1,15.02,15.05
1641801600,15.05,15.12,14.99,15.11
1641803400,15.11,15.27,15.08,15.21
1641805200,15.2,15.25,15.2,15.22
1641807000,15.22,15.24,15.13,15.14
1641808800,15.14,15.18,15.12,15.15
1641810600,15.15,15.16,15.09,15.12
1641812400,15.13,15.14,15.08,15.13
1641814200,15.12,15.15,15.11,15.15
1641816000,15.15,15.16,15.07,15.08
1641817800,15.08,15.16,15.01,15.14
1641819600,15.14,15.24,15.1,15.22
1641821400,15.22,15.26,15.17,15.18
1641823200,15.19,15.2,15.11,15.12
1641825000,15.12,15.15,14.92,14.94
1641826800,14.94,14.94,14.9,14.9
1641882600,15.02,15.02,15.02,15.02
1641884400,15.02,15.21,14.99,15.05
1641886200,15.05,15.06,14.87,14.99
1641888000,15,15.06,14.89,14.95
1641889800,14.94,15.01,14.82,14.84
1641891600,14.84,14.85,14.71,14.83
