time,open,high,low,close
1641191400,32.64,32.64,32.64,32.64
1641193200,32.64,32.7,32.1,32.16
1641195000,32.16,32.82,32.16,32.7
1641196800,32.7,33.46,32.48,33.36
1641198600,33.36,33.48,33,33.14
1641200400,33.1,33.58,33.06,33.54
1641202200,33.54,33.56,33.26,33.4
1641204000,33.42,33.58,33.34,33.44
1641205800,33.44,33.44,33.28,33.32
1641207600,33.32,33.4,32.94,33.06
1641209400,33.06,33.22,32.98,33.12
1641211200,33.12,33.42,33.12,33.34
1641213000,33.34,33.38,33.16,33.2
1641214800,33.18,33.68,33.18,33.64
1641216600,33.62,33.76,33.4,33.6
1641218400,33.6,33.68,33.44,33.5
1641220200,33.48,34,33.44,33.92
1641222000,34,34,34,34
1641277800,34.62,34.62,34.62,34.62
1641279600,34.64,35.3,34.3,35.28
1641281400,35.28,35.56,35.02,35.4
1641283200,35.4,35.5,35.08,35.28
1641285000,35.28,35.44,35.14,35.32
1641286800,35.32,35.4,35.1,35.4
1641288600,35.4,35.9,35.4,35.42
1641290400,35.4,35.68,35.34,35.34
1641292200,35.36,35.52,35.16,35.2
1641294000,35.2,35.46,35.18,35.4
1641295800,35.4,35.46,35.26,35.36
1641297600,35.36,35.54,35.28,35.42
1641299400,35.44,35.44,34.66,35.08
1641301200,35.08,35.14,34.64,35.12
1641303000,35.14,35.22,34.7,34.9
1641304800,34.9,34.98,34.52,34.96
1641306600,34.94,35.5,34.82,35.48
1641308400,35.72,35.72,35.72,35.72
1641364200,35.86,35.86,35.86,35.86
1641366000,35.86,36.24,35.3,36.1
1641367800,36.14,36.18,35.9,35.9
1641369600,35.92,35.96,35.58,35.64
1641371400,35.62,36.04,35.58,35.96
1641373200,35.96,36.06,35.8,35.86
1641375000,35.86,35.92,35.66,35.68
1641376800,35.68,35.76,35.6,35.66
1641378600,35.68,35.8,35.64,35.8
1641380400,35.8,35.98,35.8,35.96
1641382200,35.98,36.06,35.9,35.96
1641384000,35.96,36.34,35.84,36.34
1641385800,36.32,36.34,36.16,36.26
1641387600,36.24,36.56,36.22,36.44
1641389400,36.46,36.52,36.2,36.4
1641391200,36.44,36.92,36.36,36.76
1641393000,36.78,36.92,36.34,36.62
1641394800,36.6,36.6,36.6,36.6
1641450600,35.9,35.9,35.9,35.9
1641452400,35.9,36.88,35.42,36.76
1641454200,36.78,36.8,36.3,36.54
1641456000,36.56,36.8,36.44,36.48
1641457800,36.48,36.58,36.02,36.22
1641459600,36.24,36.58,35.94,36.56
1641461400,36.54,36.76,36.4,36.52
1641463200,36.54,36.6,36.12,36.28
1641465000,36.32,36.42,36.26,36.4
1641466800,36.4,36.52,36.24,36.46
1641468600,36.42,36.56,36.34,36.42
1641470400,36.44,36.6,36.36,36.5
1641472200,36.52,36.6,36.38,36.6
1641474000,36.6,36.68,36.34,36.36
1641475800,36.36,36.44,36.18,36.3
1641477600,36.3,36.3,35.9,36.08
1641479400,36.1,36.26,35.96,36
1641481200,36.28,36.28,36.28,36.28
1641537000,36.52,36.52,36.52,36.52
1641538800,36.52,36.9,36.5,36.58
1641540600,36.58,36.64,36.38,36.46
1641542400,36.46,36.58,36.1,36.44
1641544200,36.44,36.5,36.1,36.16
1641546000,36.14,36.46,36.08,36.34
1641547800,36.34,36.34,36.24,36.24
1641549600,36.24,36.48,36.16,36.48
1641551400,36.5,36.52,36.2,36.34
1641553200,36.34,36.34,35.58,35.9
1641555000,35.88,36.3,35.44,36.28
1641556800,36.28,36.9,36.26,36.5
1641558600,36.5,36.86,36.32,36.82
1641560400,36.82,37.08,36.64,36.96
1641562200,36.98,37.06,36.68,36.98
1641564000,36.96,37.44,36.9,37.24
1641565800,37.24,37.4,37.12,37.32
1641567600,37.32,37.32,37.32,37.32
1641796200,37.6,37.6,37.6,37.6
1641798000,37.62,38.16,37.62,38.04
1641799800,38.04,38.6,37.88,38.18
1641801600,38.2,38.92,38.18,38.9
1641803400,38.9,39.14,38.72,38.8
1641805200,38.74,38.92,38.64,38.86
1641807000,38.86,39.06,38.84,38.86
1641808800,38.86,39.32,38.86,39.3
1641810600,39.3,39.44,38.9,39.3
1641812400,39.3,39.34,39.16,39.28
1641814200,39.3,39.3,39.04,39.14
1641816000,39.14,39.3,39.1,39.2
1641817800,39.18,39.36,39,39.24
1641819600,39.24,39.34,39.14,39.3
1641821400,39.3,39.3,39.14,39.22
1641823200,39.2,39.46,38.96,39.38
1641825000,39.42,39.78,38.46,38.68
1641826800,38.5,38.5,38.5,38.5
1641882600,39.2,39.2,39.2,39.2
1641884400,39.18,39.36,38.42,38.68
1641886200,38.66,38.86,38.02,38.6
1641888000,38.6,38.74,38.02,38.16
1641889800,38.22,38.46,37.92,38.04
1641891600,38.06,38.26,37.7,38.2
1641893400,38.2,38.68,38.18,38.6
1641895200,38.62,38.76,38.5,38.68
1641897000,38.72,38.76,38.08,38.36
1641898800,38.32,38.42,38.16,38.32
1641900600,38.3,38.8,38.22,38.74
1641902400,38.74,39,38.64,38.74
1641904200,38.7,39.04,38.62,38.84
1641906000,38.86,38.92,38.6,38.64
1641907800,38.66,38.74,38.34,38.38
1641909600,38.34,38.46,38,38.24
1641911400,38.26,38.38,37.94,38.2
1641913200,38.06,38.06,38.06,38.06
1641969000,38.66,38.66,38.66,38.66
1641970800,38.66,38.74,38.08,38.16
1641972600,38.16,38.3,37.92,38
1641974400,38,38.4,37.96,38.18
1641976200,38.18,38.92,38.16,38.88
1641978000,38.94,39.1,38.78,38.92
1641979800,38.92,39,38.76,38.9
1641981600,38.88,38.92,38.76,38.8
1641983400,38.8,38.98,38.72,38.9
1641985200,38.88,38.92,38.64,38.68
1641987000,38.66,38.8,38.62,38.64
1641988800,38.64,38.86,38.32,38.52
1641990600,38.52,38.54,38.32,38.36
1641992400,38.32,38.36,38.2,38.3
1641994200,38.3,38.5,38.28,38.36
1641996000,38.38,38.44,37.88,38.04
1641997800,38.02,38.12,37.88,37.9
1641999600,37.9,37.9,37.9,37.9
1642055400,37.76,37.76,37.76,37.76
1642057200,37.76,38.32,37.66,38.16
1642059000,38.18,38.34,38.04,38.12
1642060800,38.12,39.16,38.06,39.02
1642062600,39.04,39.1,38.7,38.76
1642064400,38.74,38.92,38.64,38.76
1642066200,38.76,39.18,38.64,39.16
1642068000,39.16,39.22,39,39.12
1642069800,39.1,39.62,39.1,39.42
1642071600,39.42,39.44,39.12,39.18
1642073400,39.18,39.28,39.12,39.18
1642075200,39.18,39.32,39,39.26
1642077000,39.24,39.26,38.84,38.88
1642078800,38.9,38.92,38.58,38.64
1642080600,38.62,38.9,38.58,38.66
1642082400,38.62,38.76,38.44,38.48
1642084200,38.48,38.84,38.4,38.6
1642086000,38.78,38.78,38.78,38.78
1642141800,38.86,38.86,38.86,38.86
1642143600,38.84,39.04,38.34,38.34
1642145400,38.32,38.9,38.24,38.78
1642147200,38.72,38.88,38.42,38.48
1642149000,38.48,38.56,38.36,38.46
1642150800,38.44,38.56,38.34,38.52
1642152600,38.5,38.54,38.3,38.32
1642154400,38.3,38.7,38.2,38.5
1642156200,38.5,38.6,38.3,38.48
1642158000,38.46,38.58,38.42,38.5
1642159800,38.48,38.52,38.4,38.42
1642161600,38.4,38.48,38.22,38.36
1642163400,38.36,38.42,38.22,38.32
1642165200,38.32,38.36,38,38.18
1642167000,38.2,38.28,37.92,37.96
1642168800,37.98,38.44,37.94,38.32
1642170600,38.32,38.36,38.14,38.18
1642172400,38.24,38.24,38.24,38.24
1642401000,38.4,38.4,38.4,38.4
1642402800,38.42,38.6,38.24,38.26
1642404600,38.26,38.5,38.24,38.48
1642406400,38.48,39.06,38.46,38.96
1642408200,38.96,39.08,38.78,38.82
1642410000,38.82,38.98,38.66,38.68
1642411800,38.66,38.7,38.44,38.48
1642413600,38.46,38.54,38.32,38.36
1642415400,38.34,38.48,38.22,38.42
1642417200,38.42,38.5,38.38,38.48
1642419000,38.46,38.54,38.3,38.38
1642420800,38.38,38.44,38.2,38.28
1642422600,38.28,38.34,38.2,38.28
1642424400,38.26,38.3,38.1,38.24
1642426200,38.2,38.48,38.2,38.36
1642428000,38.36,38.76,38.34,38.62
1642429800,38.62,38.92,38.58,38.8
1642431600,38.82,38.82,38.82,38.82
1642487400,38.72,38.72,38.72,38.72
1642489200,38.64,39.42,38.42,39.42
1642491000,39.4,39.9,39.4,39.6
1642492800,39.6,39.68,39.3,39.38
1642494600,39.36,39.6,39.32,39.44
1642496400,39.48,39.56,39.18,39.3
1642498200,39.28,39.3,38.94,39.14
1642500000,39.12,39.16,38.82,39.12
1642501800,39.14,39.16,38.92,39
1642503600,38.98,39.02,38.78,38.92
1642505400,38.92,39,38.54,38.64
1642507200,38.64,38.76,38.52,38.56
1642509000,38.56,38.64,38.5,38.54
1642510800,38.54,38.54,38.1,38.18
