time,open,high,low,close
1641191400,18.76,18.76,18.76,18.76
1641193200,18.75,19.02,18.62,18.64
1641195000,18.66,18.98,18.65,18.91
1641196800,18.92,19.12,18.92,19.03
1641198600,19.02,19.19,19.02,19.15
1641200400,19.15,19.26,19.12,19.25
1641202200,19.25,19.26,19.13,19.17
1641204000,19.16,19.19,19.04,19.1
1641205800,19.12,19.21,19.05,19.2
1641207600,19.21,19.22,19.09,19.15
1641209400,19.15,19.3,19.15,19.22
1641211200,19.2,19.27,19.19,19.23
1641213000,19.22,19.24,19.16,19.17
1641214800,19.19,19.23,19.13,19.13
1641216600,19.13,19.16,19.02,19.04
1641218400,19.06,19.1,19.03,19.07
1641220200,19.07,19.2,19.06,19.14
1641222000,19.09,19.09,19.09,19.09
1641277800,19.26,19.26,19.26,19.26
1641279600,19.26,19.43,19.24,19.42
1641281400,19.42,19.57,19.36,19.53
1641283200,19.54,19.6,19.48,19.55
1641285000,19.56,19.75,19.54,19.63
1641286800,19.62,19.62,19.48,19.55
1641288600,19.55,19.6,19.47,19.48
1641290400,19.48,19.55,19.47,19.51
1641292200,19.52,19.53,19.36,19.39
1641294000,19.39,19.49,19.38,19.48
1641295800,19.48,19.48,19.38,19.41
1641297600,19.41,19.47,19.4,19.4
1641299400,19.41,19.41,19,19.17
1641301200,19.14,19.2,18.97,19.2
1641303000,19.17,19.19,18.99,19.06
1641304800,19.05,19.21,19.01,19.16
1641306600,19.16,19.5,19.11,19.43
1641308400,19.64,19.64,19.64,19.64
1641364200,19.64,19.64,19.64,19.64
1641366000,19.6,19.64,19.5,19.55
1641367800,19.53,19.56,19.42,19.46
1641369600,19.46,19.49,19.32,19.37
1641371400,19.39,19.49,19.37,19.46
1641373200,19.46,19.64,19.46,19.53
1641375000,19.56,19.56,19.44,19.47
1641376800,19.47,19.55,19.46,19.47
1641378600,19.47,19.51,19.43,19.47
1641380400,19.48,19.57,19.4,19.45
1641382200,19.45,19.48,19.4,19.46
1641384000,19.46,19.5,19.4,19.48
1641385800,19.48,19.54,19.43,19.53
1641387600,19.53,19.76,19.52,19.74
1641389400,19.73,19.74,19.61,19.69
1641391200,19.69,20.08,19.69,19.92
1641393000,19.91,20.18,19.9,20.14
1641394800,20.16,20.16,20.16,20.16
1641450600,19.92,19.92,19.92,19.92
1641452400,19.92,20.06,19.83,19.96
1641454200,19.97,19.97,19.84,19.93
1641456000,19.93,20.1,19.85,19.88
1641457800,19.87,19.93,19.8,19.85
1641459600,19.87,19.95,19.85,19.93
1641461400,19.94,19.95,19.85,19.9
1641463200,19.9,19.91,19.81,19.85
1641465000,19.85,19.91,19.82,19.85
1641466800,19.85,19.86,19.71,19.73
1641468600,19.73,19.82,19.64,19.65
1641470400,19.65,19.78,19.6,19.64
1641472200,19.64,19.72,19.6,19.65
1641474000,19.65,19.74,19.59,19.61
1641475800,19.61,19.68,19.56,19.65
1641477600,19.65,19.66,19.56,19.63
1641479400,19.63,19.79,19.57,19.71
1641481200,19.7,19.7,19.7,19.7
1641537000,20,20,20,20
1641538800,19.97,20.02,19.79,19.94
1641540600,19.93,19.96,19.86,19.87
1641542400,19.88,19.89,19.67,19.69
1641544200,19.69,19.72,19.63,19.67
1641546000,19.67,19.68,19.63,19.63
1641547800,19.64,19.68,19.63,19.68
1641549600,19.68,19.71,19.63,19.66
1641551400,19.65,19.65,19.52,19.6
1641553200,19.59,19.6,19.28,19.34
1641555000,19.34,19.43,19.08,19.41
1641556800,19.41,19.51,19.22,19.33
1641558600,19.33,19.33,19.16,19.23
1641560400,19.23,19.31,19.19,19.28
1641562200,19.29,19.32,19.2,19.31
1641564000,19.31,19.49,19.3,19.39
