time,open,high,low,close
1641191400,20.18,20.18,20.18,20.18
1641193200,20.2,20.34,19.83,19.87
1641195000,19.87,20.28,19.83,20.26
1641196800,20.26,20.64,20.18,20.58
1641198600,20.58,20.72,20.58,20.72
1641200400,20.72,21.08,20.72,21.02
1641202200,21.02,21.08,20.86,20.96
1641204000,20.96,21.02,20.86,20.9
1641205800,20.92,20.98,20.78,20.9
1641207600,20.92,20.98,20.7,20.78
1641209400,20.8,20.88,20.7,20.84
1641211200,20.86,21.1,20.82,20.98
1641213000,20.96,21.06,20.92,20.96
1641214800,20.98,21.36,20.96,21.34
1641216600,21.34,21.4,21.18,21.3
1641218400,21.32,21.44,21.2,21.3
1641220200,21.3,21.88,21.26,21.84
1641222000,21.84,21.84,21.84,21.84
1641277800,21.9,21.9,21.9,21.9
1641279600,21.9,22.82,21.76,22.82
1641281400,22.82,23.42,22.74,23.18
1641283200,23.2,23.22,22.82,22.86
1641285000,22.86,23.12,22.82,23.02
1641286800,23,23.02,22.84,22.98
1641288600,22.98,23.16,22.86,22.88
1641290400,22.86,22.98,22.84,22.88
1641292200,22.88,23.08,22.78,22.8
1641294000,22.82,23,22.8,22.96
1641295800,22.96,23.04,22.88,22.96
1641297600,22.96,23.16,22.92,23.02
1641299400,23.02,23.04,22.42,22.64
1641301200,22.66,22.8,22.38,22.8
1641303000,22.78,22.86,22.34,22.5
1641304800,22.48,22.68,22.22,22.6
1641306600,22.6,22.92,22.44,22.76
1641308400,22.76,22.8,22.76,22.8
1641364200,22.1,22.1,22.1,22.1
1641366000,22.24,23.28,22.24,23.12
1641367800,23.12,23.28,23.04,23.04
1641369600,23.04,23.14,22.96,23.02
1641371400,23.02,23.24,23,23.14
1641373200,23.14,23.32,23.12,23.24
1641375000,23.22,23.26,23.04,23.06
1641376800,23.04,23.12,22.98,23.04
1641378600,23.02,23.14,23.02,23.1
1641380400,23.1,23.26,23.06,23.2
1641382200,23.22,23.3,23.14,23.26
1641384000,23.26,23.64,23.16,23.62
1641385800,23.6,23.72,23.58,23.64
1641387600,23.64,23.96,23.62,23.94
1641389400,23.94,24,23.76,23.9
1641391200,23.9,24.04,23.82,23.98
1641393000,23.96,24.12,23.82,23.94
