time,open,high,low,close
1641191400,75.95,75.95,75.95,75.95
1641193200,75.95,80,75.95,78.5
1641195000,78.5,79.15,78.4,78.95
1641196800,79,79.75,78.85,79.4
1641198600,79.4,80.3,79.1,80.2
1641200400,80.25,83.15,80.1,83.05
1641202200,83.05,83.25,82.45,82.65
1641204000,82.65,82.9,81.95,82.8
1641205800,82.8,83.05,82.6,82.75
1641207600,82.75,83,81.65,82.25
1641209400,82.25,82.55,81.6,81.95
1641211200,81.95,82.3,81.75,82.3
1641213000,82.25,82.7,82.05,82.5
1641214800,82.5,82.9,82.35,82.7
1641216600,82.7,82.7,82.05,82.5
1641218400,82.5,82.65,82.3,82.45
1641220200,82.5,83.25,81.65,82.95
1641222000,82.95,82.95,82.95,82.95
1641277800,83.45,83.45,83.45,83.45
1641279600,83.5,86.4,83,84.9
1641281400,84.9,85.75,84.8,85.55
1641283200,85.5,85.85,85.1,85.7
1641285000,85.75,86.85,85.45,86
1641286800,86.05,86.1,85.5,85.9
1641288600,85.9,86.45,85.55,85.8
1641290400,85.8,86.45,85.4,86.05
1641292200,86,86.7,86,86.2
1641294000,86.2,86.6,86,86.6
1641295800,86.55,86.65,86.05,86.4
1641297600,86.4,86.75,86.2,86.25
1641299400,86.2,86.2,83.05,84.1
1641301200,84.15,85.25,82.35,85.25
1641303000,85.25,85.25,84.15,84.35
1641304800,84.3,85,83.2,84.85
1641306600,84.8,84.95,83.6,84.65
1641308400,84.7,84.7,84.7,84.7
1641364200,84.85,84.85,84.85,84.85
1641366000,84.9,86.7,84.3,85.7
1641367800,85.75,86.1,85.6,85.75
1641369600,85.7,86,85.4,85.75
1641371400,85.75,86.4,85.7,86.15
1641373200,86.15,86.85,86,86.55
1641375000,86.5,86.7,86,86.15
1641376800,86.1,86.3,85.65,85.75
1641378600,85.75,86,85.4,85.75
1641380400,85.8,85.95,85.6,85.75
1641382200,85.75,85.95,85.65,85.9
1641384000,85.9,86.2,85.75,85.9
1641385800,85.95,86.25,85.8,86
1641387600,86,86.65,85.8,86.65
1641389400,86.65,89,86.4,87.95
1641391200,88,89.05,87.9,88.2
1641393000,88.2,88.6,87.5,88
1641394800,88.8,88.8,88.8,88.8
1641450600,87.95,87.95,87.95,87.95
1641452400,87.9,88.6,87.05,88
1641454200,88,88.05,87.3,87.8
1641456000,87.8,88.35,87.7,87.8
1641457800,87.8,88,87.4,87.75
1641459600,87.8,88.15,87.7,88.15
1641461400,88.15,88.2,87.9,87.95
1641463200,88,88.1,87.45,87.8
1641465000,87.8,88.15,87.75,88
1641466800,87.95,88.1,87.7,87.9
1641468600,87.95,88.6,87.9,88.2
1641470400,88.2,88.4,88.05,88.35
1641472200,88.35,89.55,88.15,89.5
1641474000,89.5,89.55,87.35,87.95
1641475800,88,88.25,87.65,88
1641477600,88,88.75,87.75,88.3
1641479400,88.35,88.45,87.15,87.4
1641481200,87.4,87.4,87.4,87.4
1641537000,87.95,87.95,87.95,87.95
1641538800,88,88.55,87.4,87.9
1641540600,87.9,87.95,87.25,87.75
1641542400,87.8,87.9,86.6,86.7
1641544200,86.65,86.85,85.85,86.45
1641546000,86.45,86.45,85.95,86.45
1641547800,86.45,86.65,86.4,86.5
1641549600,86.45,86.5,86.1,86.2
1641551400,86.2,86.25,86,86.1
1641553200,86.1,86.25,85.4,85.7
1641555000,85.6,86.55,84.45,86.2
1641556800,86.2,86.4,85.85,85.9
1641558600,85.85,86,85.45,85.7
1641560400,85.7,86.2,85.55,86.05
1641562200,86.05,86.2,85.7,85.95
1641564000,86,87.1,86,86.75
1641565800,86.8,87,86.4,86.9
1641567600,87,87,87,87
1641796200,85.8,85.8,85.8,85.8
1641798000,85.7,86,84.25,85.45
1641799800,85.4,85.95,85.2,85.5
1641801600,85.55,85.85,85.4,85.8
1641803400,85.8,85.85,85.55,85.6
1641805200,85.6,85.95,85.5,85.85
1641807000,85.85,85.9,85.4,85.6
1641808800,85.55,86.3,85.45,85.8
1641810600,85.8,85.85,85.05,85.2
1641812400,85.2,85.4,85,85.1
1641814200,85.1,85.4,85,85.35
1641816000,85.4,85.4,85.15,85.25
1641817800,85.25,85.25,85,85.2
1641819600,85.2,85.75,85.1,85.7
1641821400,85.7,85.75,85.35,85.45
1641823200,85.45,85.7,85.35,85.7
1641825000,85.7,85.7,85.25,85.25
1641826800,85.05,85.05,85.05,85.05
1641882600,85.3,85.3,85.3,85.3
1641884400,85.3,85.45,83.15,84.05
1641886200,84.05,84.5,83.2,83.9
1641888000,83.85,84.05,82.5,82.8
1641889800,82.8,83,82.1,82.25
1641891600,82.2,83.35,81.65,83.2
1641893400,83.25,83.7,83.25,83.65
1641895200,83.65,83.85,83.55,83.8
1641897000,83.85,83.85,82.95,83
1641898800,83.05,83.1,82.25,82.5
