time,open,high,low,close
1641191400,9.71,9.71,9.71,9.71
1641193200,9.72,9.76,9.64,9.67
1641195000,9.67,9.76,9.67,9.74
1641196800,9.74,9.8,9.73,9.76
1641198600,9.76,9.82,9.75,9.81
1641200400,9.81,9.89,9.8,9.88
1641202200,9.89,9.97,9.86,9.93
1641204000,9.94,10,9.91,9.99
1641205800,9.98,10.01,9.96,9.99
1641207600,9.98,10,9.93,9.96
1641209400,9.95,10.1,9.93,10.06
1641211200,10.05,10.09,10,10.01
1641213000,10.01,10.02,9.92,9.94
1641214800,9.94,9.94,9.84,9.89
1641216600,9.89,9.9,9.84,9.88
1641218400,9.88,9.89,9.83,9.88
1641220200,9.88,9.95,9.87,9.9
1641222000,9.91,9.92,9.91,9.92
1641277800,9.97,9.97,9.97,9.97
1641279600,9.98,10.17,9.98,10.13
1641281400,10.13,10.21,10.1,10.19
1641283200,10.19,10.28,10.11,10.16
1641285000,10.16,10.24,10.13,10.19
1641286800,10.19,10.2,10.15,10.2
1641288600,10.19,10.25,10.16,10.23
1641290400,10.22,10.29,10.21,10.21
1641292200,10.22,10.23,10.12,10.13
1641294000,10.13,10.18,10.13,10.18
1641295800,10.18,10.18,10.13,10.15
1641297600,10.16,10.25,10.16,10.19
1641299400,10.19,10.2,9.94,10.03
1641301200,10.02,10.06,9.93,10.06
1641303000,10.05,10.06,9.97,9.98
1641304800,9.98,10.06,9.95,10.06
1641306600,10.05,10.17,10.04,10.17
1641308400,10.18,10.18,10.18,10.18
1641364200,10.23,10.23,10.23,10.23
1641366000,10.24,10.28,10.14,10.25
1641367800,10.26,10.32,10.24,10.28
1641369600,10.28,10.33,10.26,10.27
1641371400,10.28,10.42,10.28,10.4
1641373200,10.4,10.49,10.39,10.48
1641375000,10.48,10.64,10.46,10.49
1641376800,10.49,10.58,10.46,10.5
1641378600,10.51,10.61,10.51,10.59
1641380400,10.59,10.62,10.5,10.53
1641382200,10.54,10.6,10.53,10.59
1641384000,10.58,10.63,10.53,10.6
1641385800,10.61,10.74,10.59,10.74
1641387600,10.73,10.77,10.68,10.75
1641389400,10.75,10.82,10.71,10.75
1641391200,10.75,10.88,10.74,10.79
1641393000,10.79,10.9,10.74,10.88
1641394800,10.88,10.88,10.86,10.86
1641450600,10.7,10.7,10.7,10.7
1641452400,10.7,10.83,10.61,10.74
1641454200,10.75,10.78,10.65,10.78
1641456000,10.77,10.8,10.7,10.74
1641457800,10.74,10.85,10.73,10.81
1641459600,10.81,10.87,10.79,10.84
1641461400,10.83,10.86,10.78,10.84
1641463200,10.84,10.99,10.79,10.98
1641465000,10.98,11.23,10.98,11.09
1641466800,11.09,11.1,11.02,11.04
1641468600,11.04,11.11,10.99,11
1641470400,10.99,11.08,10.96,10.97
1641472200,10.96,11.05,10.95,11
1641474000,10.99,11.06,10.97,10.98
1641475800,10.97,10.97,10.84,10.92
1641477600,10.92,10.92,10.8,10.82
1641479400,10.82,10.83,10.73,10.77
1641481200,10.77,10.77,10.77,10.77
1641537000,10.85,10.85,10.85,10.85
1641538800,10.85,10.93,10.81,10.86
1641540600,10.86,10.87,10.72,10.74
1641542400,10.74,10.76,10.61,10.67
1641544200,10.67,10.68,10.63,10.65
1641546000,10.65,10.66,10.57,10.62
1641547800,10.62,10.63,10.59,10.63
1641549600,10.63,10.63,10.59,10.63
1641551400,10.63,10.64,10.57,10.64
1641553200,10.65,10.68,10.55,10.57
1641555000,10.57,10.6,10.46,10.58
1641556800,10.58,10.6,10.51,10.54
1641558600,10.54,10.55,10.46,10.53
1641560400,10.53,10.59,10.52,10.56
1641562200,10.57,10.65,10.51,10.64
1641564000,10.63,10.73,10.63,10.67
1641565800,10.67,10.73,10.62,10.72
1641567600,10.69,10.69,10.69,10.69
1641796200,10.8,10.8,10.8,10.8
1641798000,10.8,10.82,10.72,10.77
1641799800,10.77,10.78,10.72,10.73
1641801600,10.72,10.75,10.68,10.72
1641803400,10.72,10.73,10.65,10.67
1641805200,10.65,10.68,10.59,10.67
1641807000,10.66,10.68,10.63,10.63
1641808800,10.63,10.68,10.63,10.68
1641810600,10.67,10.74,10.65,10.71
1641812400,10.72,10.8,10.67,10.8
1641814200,10.79,10.81,10.73,10.77
1641816000,10.77,10.81,10.73,10.73
1641817800,10.73,10.99,10.7,10.89
1641819600,10.89,11.01,10.86,11.01
1641821400,11.01,11.19,10.98,11.18
1641823200,11.18,11.22,11.1,11.12
1641825000,11.11,11.14,10.97,10.99
1641826800,10.96,10.96,10.96,10.96
1641882600,11.1,11.1,11.1,11.1
1641884400,11.1,11.14,10.92,10.98
1641886200,10.98,11.01,10.82,10.84
1641888000,10.84,10.87,10.73,10.76
1641889800,10.75,10.82,10.67,10.68
1641891600,10.68,10.73,10.63,10.7
1641893400,10.7,10.77,10.7,10.75
1641895200,10.74,10.81,10.72,10.8
1641897000,10.8,10.8,10.7,10.73
1641898800,10.73,10.77,10.71,10.72
1641900600,10.72,10.83,10.7,10.81
1641902400,10.82,10.86,10.8,10.82
1641904200,10.81,10.93,10.8,10.92
1641906000,10.91,10.94,10.87,10.88
1641907800,10.88,10.89,10.76,10.77
1641909600,10.77,10.91,10.76,10.84
1641911400,10.84,10.85,10.72,10.79
1641913200,10.75,10.75,10.75,10.75
1641969000,11.1,11.1,11.1,11.1
1641970800,11.09,11.13,10.86,10.9
1641972600,10.9,10.92,10.85,10.88
1641974400,10.87,10.89,10.84,10.86
1641976200,10.86,10.86,10.77,10.82
1641978000,10.81,10.87,10.81,10.83
1641979800,10.84,10.87,10.82,10.83
1641981600,10.84,10.85,10.82,10.84
1641983400,10.84,10.88,10.84,10.85
1641985200,10.85,10.86,10.81,10.83
1641987000,10.83,11.05,10.83,10.98
1641988800,10.98,10.99,10.82,10.86
1641990600,10.85,10.87,10.82,10.86
1641992400,10.85,10.86,10.77,10.81
1641994200,10.81,10.89,10.8,10.87
1641996000,10.87,10.94,10.85,10.89
1641997800,10.89,10.96,10.88,10.94
1641999600,10.93,10.93,10.93,10.93
1642055400,10.9,10.9,10.9,10.9
1642057200,10.89,10.98,10.85,10.87
1642059000,10.87,10.91,10.84,10.91
1642060800,10.9,10.9,10.83,10.84
1642062600,10.84,10.87,10.79,10.84
1642064400,10.84,10.88,10.83,10.86
1642066200,10.85,10.87,10.81,10.82
1642068000,10.82,10.9,10.81,10.87
1642069800,10.87,10.98,10.85,10.98
1642071600,10.98,11.02,10.92,10.92
1642073400,10.93,10.93,10.86,10.87
1642075200,10.87,10.9,10.84,10.89
1642077000,10.88,10.88,10.83,10.86
1642078800,10.86,10.87,10.81,10.81
1642080600,10.82,10.85,10.8,10.81
1642082400,10.81,10.83,10.75,10.77
1642084200,10.77,10.84,10.74,10.75
1642086000,10.75,10.75,10.75,10.75
1642141800,10.76,10.76,10.76,10.76
1642143600,10.76,10.79,10.71,10.72
1642145400,10.72,10.73,10.65,10.68
1642147200,10.68,10.69,10.59,10.66
1642149000,10.66,10.69,10.64,10.66
1642150800,10.66,10.7,10.65,10.69
1642152600,10.68,10.69,10.6,10.6
1642154400,10.6,10.64,10.58,10.61
1642156200,10.61,10.66,10.61,10.65
1642158000,10.64,10.67,10.62,10.63
1642159800,10.63,10.64,10.61,10.62
1642161600,10.62,10.65,10.6,10.65
1642163400,10.65,10.69,10.61,10.62
1642165200,10.62,10.62,10.55,10.6
1642167000,10.6,10.62,10.58,10.6
1642168800,10.61,10.72,10.6,10.71
1642170600,10.71,10.72,10.67,10.67
1642172400,10.67,10.67,10.67,10.67
1642401000,10.72,10.72,10.72,10.72
1642402800,10.73,10.77,10.7,10.74
1642404600,10.73,10.79,10.72,10.76
1642406400,10.77,10.85,10.77,10.8
1642408200,10.81,10.84,10.77,10.81
1642410000,10.81,10.94,10.81,10.87
1642411800,10.87,10.92,10.86,10.9
1642413600,10.89,10.97,10.89,10.92
1642415400,10.92,10.94,10.89,10.93
1642417200,10.92,10.93,10.88,10.89
1642419000,10.89,10.9,10.85,10.87
1642420800,10.87,10.92,10.84,10.85
1642422600,10.85,10.89,10.85,10.86
1642424400,10.87,10.88,10.77,10.78
1642426200,10.78,10.83,10.77,10.81
1642428000,10.8,10.83,10.77,10.78
1642429800,10.78,10.8,10.77,10.8
1642431600,10.78,10.78,10.78,10.78
1642487400,10.78,10.78,10.78,10.78
1642489200,10.77,10.77,10.66,10.68
1642491000,10.69,10.71,10.66,10.68
1642492800,10.68,10.68,10.58,10.61
1642494600,10.61,10.61,10.56,10.58
1642496400,10.58,10.58,10.5,10.52
1642498200,10.52,10.52,10.45,10.48
1642500000,10.47,10.48,10.42,10.45
1642501800,10.45,10.45,10.38,10.41
