time,open,high,low,close
1641191400,3.75,3.75,3.75,3.75
1641193200,3.74,3.74,3.68,3.68
1641195000,3.69,3.74,3.69,3.73
1641196800,3.73,3.74,3.71,3.72
1641198600,3.71,3.74,3.71,3.73
1641200400,3.73,3.73,3.71,3.72
1641202200,3.72,3.73,3.72,3.72
1641204000,3.72,3.73,3.72,3.73
1641205800,3.73,3.73,3.72,3.73
1641207600,3.73,3.74,3.71,3.74
1641209400,3.74,3.75,3.73,3.74
1641211200,3.73,3.74,3.73,3.74
1641213000,3.74,3.74,3.72,3.73
1641214800,3.72,3.74,3.72,3.74
1641216600,3.73,3.74,3.72,3.73
1641218400,3.73,3.75,3.73,3.73
1641220200,3.74,3.75,3.73,3.74
1641222000,3.75,3.75,3.75,3.75
1641277800,3.76,3.76,3.76,3.76
1641279600,3.77,3.79,3.74,3.78
1641281400,3.78,3.79,3.77,3.78
1641283200,3.78,3.79,3.77,3.78
1641285000,3.78,3.79,3.77,3.77
1641286800,3.77,3.78,3.76,3.77
1641288600,3.77,3.77,3.75,3.76
1641290400,3.76,3.78,3.76,3.77
1641292200,3.77,3.78,3.76,3.76
1641294000,3.76,3.77,3.76,3.77
1641295800,3.77,3.77,3.75,3.76
1641297600,3.76,3.77,3.75,3.75
1641299400,3.75,3.75,3.7,3.72
1641301200,3.72,3.73,3.7,3.72
1641303000,3.72,3.73,3.7,3.72
1641304800,3.72,3.73,3.7,3.73
1641306600,3.73,3.75,3.72,3.74
1641308400,3.73,3.73,3.73,3.73
1641364200,3.73,3.73,3.73,3.73
1641366000,3.74,3.75,3.72,3.73
1641367800,3.73,3.74,3.72,3.73
1641369600,3.72,3.73,3.71,3.72
1641371400,3.72,3.75,3.72,3.73
1641373200,3.73,3.75,3.73,3.73
1641375000,3.73,3.75,3.72,3.72
1641376800,3.72,3.73,3.71,3.72
1641378600,3.72,3.73,3.71,3.72
1641380400,3.73,3.74,3.72,3.73
1641382200,3.73,3.74,3.73,3.73
1641384000,3.73,3.75,3.73,3.74
1641385800,3.73,3.74,3.73,3.73
1641387600,3.73,3.75,3.73,3.75
1641389400,3.74,3.75,3.73,3.74
1641391200,3.73,3.76,3.73,3.74
1641393000,3.74,3.77,3.74,3.76
1641394800,3.77,3.77,3.77,3.77
1641450600,3.75,3.75,3.75,3.75
1641452400,3.74,3.79,3.73,3.76
1641454200,3.76,3.77,3.74,3.76
1641456000,3.76,3.78,3.75,3.75
1641457800,3.76,3.77,3.75,3.76
1641459600,3.76,3.78,3.76,3.76
1641461400,3.77,3.78,3.76,3.77
1641463200,3.77,3.78,3.75,3.77
1641465000,3.77,3.77,3.76,3.77
1641466800,3.76,3.77,3.75,3.76
1641468600,3.75,3.77,3.75,3.75
1641470400,3.76,3.77,3.75,3.76
1641472200,3.76,3.77,3.75,3.75
1641474000,3.75,3.77,3.75,3.75
1641475800,3.76,3.77,3.75,3.76
1641477600,3.76,3.76,3.75,3.75
1641479400,3.75,3.76,3.74,3.75
1641481200,3.75,3.75,3.75,3.75
1641537000,3.76,3.76,3.76,3.76
1641538800,3.76,3.77,3.75,3.76
1641540600,3.76,3.78,3.76,3.77
1641542400,3.78,3.82,3.77,3.8
1641544200,3.81,3.82,3.8,3.8
1641546000,3.81,3.83,3.8,3.82
1641547800,3.82,3.82,3.8,3.8
1641549600,3.81,3.81,3.78,3.79
1641551400,3.79,3.82,3.79,3.81
1641553200,3.81,3.82,3.78,3.8
1641555000,3.79,3.79,3.76,3.78
1641556800,3.79,3.79,3.77,3.77
1641558600,3.77,3.78,3.76,3.77
1641560400,3.77,3.79,3.77,3.79
1641562200,3.79,3.79,3.77,3.78
1641564000,3.79,3.8,3.78,3.79
1641565800,3.78,3.82,3.78,3.81
1641567600,3.81,3.81,3.81,3.81
1641796200,3.86,3.86,3.86,3.86
1641798000,3.86,3.89,3.85,3.88
1641799800,3.87,3.88,3.86,3.87
1641801600,3.87,3.87,3.85,3.86
1641803400,3.86,3.87,3.85,3.85
1641805200,3.85,3.86,3.84,3.86
1641807000,3.85,3.86,3.84,3.85
1641808800,3.85,3.86,3.84,3.86
1641810600,3.86,3.87,3.85,3.86
1641812400,3.86,3.87,3.85,3.85
1641814200,3.85,3.86,3.84,3.86
1641816000,3.85,3.86,3.85,3.86
1641817800,3.86,3.87,3.85,3.87
1641819600,3.87,3.88,3.86,3.87
1641821400,3.87,3.88,3.86,3.86
1641823200,3.86,3.87,3.85,3.86
1641825000,3.86,3.87,3.83,3.84
1641826800,3.83,3.83,3.82,3.82
1641882600,3.84,3.84,3.84,3.84
1641884400,3.85,3.86,3.83,3.83
1641886200,3.83,3.85,3.82,3.83
1641888000,3.84,3.85,3.83,3.84
1641889800,3.84,3.84,3.81,3.81
1641891600,3.81,3.83,3.79,3.81
1641893400,3.81,3.83,3.81,3.81
1641895200,3.81,3.83,3.81,3.83
1641897000,3.83,3.83,3.81,3.82
1641898800,3.82,3.82,3.81,3.81
1641900600,3.82,3.83,3.81,3.82
1641902400,3.82,3.85,3.81,3.83
1641904200,3.83,3.86,3.83,3.84
1641906000,3.84,3.85,3.83,3.84
1641907800,3.85,3.85,3.83,3.84
1641909600,3.83,3.84,3.82,3.84
1641911400,3.84,3.84,3.81,3.82
1641913200,3.83,3.83,3.83,3.83
1641969000,3.86,3.86,3.86,3.86
1641970800,3.86,3.87,3.84,3.86
1641972600,3.86,3.86,3.85,3.85
1641974400,3.85,3.86,3.84,3.84
1641976200,3.84,3.85,3.83,3.85
1641978000,3.84,3.87,3.84,3.85
1641979800,3.85,3.86,3.84,3.85
1641981600,3.85,3.85,3.84,3.84
1641983400,3.84,3.85,3.84,3.84
1641985200,3.85,3.85,3.83,3.84
1641987000,3.84,3.87,3.83,3.86
1641988800,3.85,3.87,3.84,3.85
1641990600,3.85,3.86,3.84,3.85
1641992400,3.85,3.85,3.84,3.85
1641994200,3.84,3.86,3.84,3.85
1641996000,3.85,3.86,3.84,3.85
1641997800,3.85,3.86,3.84,3.85
1641999600,3.84,3.84,3.84,3.84
1642055400,3.84,3.84,3.84,3.84
1642057200,3.85,3.88,3.84,3.85
1642059000,3.86,3.87,3.85,3.87
1642060800,3.87,3.88,3.86,3.86
1642062600,3.86,3.87,3.85,3.86
1642064400,3.85,3.86,3.85,3.86
1642066200,3.86,3.86,3.85,3.85
1642068000,3.86,3.87,3.85,3.87
1642069800,3.87,3.87,3.85,3.85
1642071600,3.86,3.86,3.85,3.85
1642073400,3.86,3.86,3.85,3.86
1642075200,3.86,3.87,3.85,3.85
1642077000,3.85,3.86,3.84,3.84
1642078800,3.84,3.85,3.84,3.84
1642080600,3.85,3.85,3.83,3.84
1642082400,3.83,3.84,3.81,3.82
1642084200,3.82,3.85,3.82,3.84
1642086000,3.84,3.84,3.84,3.84
1642141800,3.84,3.84,3.84,3.84
1642143600,3.84,3.85,3.82,3.82
1642145400,3.82,3.82,3.8,3.81
1642147200,3.81,3.82,3.8,3.82
1642149000,3.82,3.82,3.81,3.82
1642150800,3.81,3.82,3.81,3.81
1642152600,3.81,3.82,3.81,3.81
1642154400,3.81,3.82,3.8,3.81
1642156200,3.81,3.82,3.8,3.81
1642158000,3.81,3.83,3.81,3.82
1642159800,3.82,3.83,3.81,3.82
1642161600,3.82,3.82,3.81,3.82
1642163400,3.82,3.82,3.81,3.82
1642165200,3.81,3.84,3.8,3.83
1642167000,3.84,3.91,3.83,3.88
1642168800,3.89,3.91,3.86,3.89
1642170600,3.89,3.92,3.88,3.88
1642172400,3.88,3.88,3.88,3.88
1642401000,4.09,4.09,4.09,4.09
1642402800,4.09,4.14,4.05,4.1
1642404600,4.1,4.1,4.05,4.06
1642406400,4.06,4.07,4.02,4.03
1642408200,4.03,4.05,4.02,4.03
1642410000,4.03,4.04,4.02,4.02
1642411800,4.02,4.03,3.99,4.01
1642413600,4.01,4.02,4,4.02
1642415400,4.02,4.03,4.01,4.01
1642417200,4.02,4.02,4.01,4.02
1642419000,4.02,4.03,4.02,4.03
1642420800,4.03,4.04,4.01,4.03
1642422600,4.03,4.05,4.03,4.04
1642424400,4.03,4.04,3.97,3.99
1642426200,3.99,4.02,3.98,4.01
1642428000,4,4.02,3.99,4
1642429800,4,4.01,3.98,3.99
1642431600,3.99,3.99,3.99,3.99
1642487400,3.98,3.98,3.98,3.98
1642489200,3.98,3.98,3.94,3.95
1642491000,3.95,3.99,3.94,3.99
1642492800,3.98,3.99,3.94,3.96
1642494600,3.95,3.97,3.95,3.96
1642496400,3.96,3.97,3.94,3.95
1642498200,3.95,4.03,3.94,4.01
1642500000,4.02,4.04,4,4.01
1642501800,4.01,4.02,4,4.01
1642503600,4.01,4.02,3.98,4
1642505400,4,4.02,3.99,4
1642507200,4,4.01,3.99,4.01
1642509000,4.01,4.02,4,4.01
1642510800,4,4.01,3.96,3.98
1642512600,3.97,3.99,3.96,3.97
1642514400,3.97,3.98,3.87,3.88
1642516200,3.88,3.88,3.82,3.82
1642573800,3.86,3.86,3.86,3.86
1642575600,3.86,3.91,3.82,3.87
1642577400,3.87,3.88,3.83,3.85
1642579200,3.84,3.87,3.84,3.86
1642581000,3.85,3.87,3.85,3.87
1642582800,3.87,3.88,3.84,3.84
1642584600,3.84,3.88,3.84,3.87
1642586400,3.87,3.88,3.86,3.86
1642588200,3.86,3.88,3.83,3.84
1642590000,3.84,3.86,3.82,3.84
1642591800,3.84,3.88,3.84,3.87
1642593600,3.87,3.88,3.86,3.87
1642595400,3.87,3.91,3.87,3.9
1642597200,3.9,3.92,3.9,3.91
1642599000,3.91,3.94,3.9,3.93
1642600800,3.94,3.95,3.92,3.94
1642602600,3.93,3.96,3.93,3.96
1642604400,3.96,3.96,3.96,3.96
1642660200,3.98,3.98,3.98,3.98
1642662000,3.99,4.01,3.98,4
1642663800,4,4,3.98,4
1642665600,3.99,4,3.97,3.97
1642667400,3.97,4.05,3.97,4.05
1642669200,4.05,4.11,4.04,4.09
1642671000,4.09,4.09,4.04,4.05
1642672800,4.04,4.07,4.03,4.05
1642674600,4.05,4.06,4.04,4.05
1642676400,4.06,4.07,4.02,4.04
1642678200,4.03,4.04,3.94,3.95
1642680000,3.95,4.05,3.92,4.02
1642681800,4.03,4.04,3.98,3.99
1642683600,3.99,4.02,3.97,4.01
1642685400,4.01,4.03,3.99,4.02
1642687200,4.02,4.02,3.91,3.91
1642689000,3.9,3.96,3.88,3.94
1642690800,3.94,3.94,3.94,3.94
1642746600,3.93,3.93,3.93,3.93
1642748400,3.93,3.97,3.92,3.93
1642750200,3.93,3.95,3.93,3.94
1642752000,3.94,3.95,3.93,3.94
1642753800,3.94,3.94,3.9,3.91
1642755600,3.91,3.93,3.91,3.93
1642757400,3.93,3.94,3.92,3.93
1642759200,3.93,3.94,3.91,3.93
1642761000,3.93,3.94,3.92,3.93
1642762800,3.92,3.93,3.89,3.92
1642764600,3.91,3.92,3.86,3.89
1642766400,3.89,3.91,3.88,3.9
1642768200,3.9,3.91,3.89,3.89
1642770000,3.9,3.9,3.88,3.89
1642771800,3.88,3.9,3.86,3.89
1642773600,3.89,3.92,3.88,3.91
1642775400,3.91,3.92,3.9,3.91
1642777200,3.91,3.92,3.91,3.92
1643005800,3.93,3.93,3.93,3.93
1643007600,3.92,3.94,3.91,3.92
1643009400,3.92,3.94,3.91,3.94
1643011200,3.93,3.97,3.92,3.95
1643013000,3.95,3.95,3.94,3.94
1643014800,3.94,3.95,3.92,3.94
1643016600,3.94,3.95,3.92,3.92
1643018400,3.93,3.93,3.89,3.9
1643020200,3.9,3.91,3.81,3.83
1643022000,3.83,3.85,3.81,3.83
1643023800,3.83,3.86,3.82,3.82
1643025600,3.83,3.85,3.81,3.84
1643027400,3.84,3.85,3.79,3.81
1643029200,3.8,3.84,3.79,3.81
1643031000,3.81,3.83,3.78,3.81
1643032800,3.8,3.83,3.79,3.81
1643034600,3.81,3.81,3.76,3.78
1643092200,3.82,3.82,3.82,3.82
1643094000,3.81,3.82,3.78,3.79
1643095800,3.79,3.81,3.79,3.8
1643097600,3.81,3.81,3.75,3.75
1643099400,3.75,3.77,3.74,3.76
1643101200,3.76,3.78,3.76,3.78
1643103000,3.78,3.79,3.77,3.78
1643104800,3.78,3.8,3.78,3.78
1643106600,3.79,3.8,3.77,3.77
1643108400,3.77,3.78,3.77,3.77
1643110200,3.77,3.78,3.75,3.76
1643112000,3.77,3.8,3.77,3.79
1643113800,3.79,3.81,3.78,3.8
1643115600,3.81,3.82,3.78,3.79
1643117400,3.79,3.8,3.78,3.78
1643119200,3.78,3.81,3.78,3.81
1643121000,3.81,3.81,3.78,3.78
1643122800,3.78,3.78,3.78,3.78
1643178600,3.79,3.79,3.79,3.79
1643180400,3.79,3.81,3.78,3.79
