time,open,high,low,close
1641191400,3.38,3.38,3.38,3.38
1641193200,3.39,3.45,3.37,3.39
1641195000,3.4,3.45,3.39,3.44
1641196800,3.43,3.45,3.42,3.43
1641198600,3.43,3.46,3.42,3.43
1641200400,3.43,3.45,3.43,3.45
1641202200,3.45,3.46,3.44,3.45
1641204000,3.45,3.47,3.45,3.46
1641205800,3.46,3.47,3.45,3.46
1641207600,3.46,3.47,3.44,3.46
1641209400,3.46,3.47,3.44,3.46
1641211200,3.46,3.46,3.44,3.45
1641213000,3.45,3.46,3.42,3.42
1641214800,3.42,3.44,3.42,3.44
1641216600,3.43,3.44,3.43,3.44
1641218400,3.44,3.44,3.42,3.44
1641220200,3.44,3.46,3.43,3.46
1641222000,3.46,3.46,3.46,3.46
1641277800,3.47,3.47,3.47,3.47
1641279600,3.47,3.53,3.46,3.51
1641281400,3.52,3.53,3.5,3.51
1641283200,3.52,3.53,3.49,3.5
1641285000,3.5,3.53,3.5,3.5
1641286800,3.5,3.51,3.49,3.51
1641288600,3.5,3.51,3.47,3.49
1641290400,3.49,3.5,3.47,3.5
1641292200,3.5,3.5,3.47,3.48
1641294000,3.47,3.48,3.47,3.48
1641295800,3.48,3.48,3.46,3.48
1641297600,3.48,3.48,3.46,3.46
1641299400,3.47,3.47,3.41,3.43
1641301200,3.43,3.44,3.39,3.43
1641303000,3.43,3.43,3.39,3.41
1641304800,3.4,3.45,3.38,3.43
1641306600,3.43,3.45,3.41,3.44
1641308400,3.43,3.43,3.43,3.43
1641364200,3.43,3.43,3.43,3.43
1641366000,3.42,3.45,3.41,3.43
1641367800,3.42,3.43,3.41,3.41
1641369600,3.42,3.43,3.4,3.42
1641371400,3.42,3.44,3.42,3.43
1641373200,3.43,3.45,3.43,3.44
1641375000,3.44,3.45,3.42,3.43
1641376800,3.43,3.44,3.42,3.43
1641378600,3.43,3.45,3.43,3.45
1641380400,3.45,3.47,3.44,3.46
1641382200,3.46,3.48,3.46,3.47
1641384000,3.47,3.48,3.45,3.46
1641385800,3.46,3.46,3.45,3.46
1641387600,3.46,3.48,3.45,3.47
1641389400,3.47,3.48,3.45,3.46
1641391200,3.46,3.49,3.45,3.48
1641393000,3.48,3.52,3.47,3.51
1641394800,3.51,3.51,3.51,3.51
1641450600,3.47,3.47,3.47,3.47
1641452400,3.46,3.51,3.46,3.49
1641454200,3.49,3.5,3.48,3.49
1641456000,3.48,3.5,3.47,3.48
1641457800,3.48,3.5,3.47,3.5
1641459600,3.49,3.56,3.49,3.54
1641461400,3.54,3.57,3.54,3.56
1641463200,3.56,3.57,3.52,3.53
1641465000,3.54,3.54,3.53,3.53
1641466800,3.54,3.54,3.5,3.51
1641468600,3.5,3.53,3.5,3.51
1641470400,3.51,3.52,3.5,3.51
1641472200,3.51,3.52,3.49,3.51
1641474000,3.51,3.53,3.5,3.5
1641475800,3.51,3.52,3.5,3.51
1641477600,3.52,3.52,3.49,3.5
1641479400,3.5,3.5,3.48,3.49
1641481200,3.49,3.49,3.49,3.49
1641537000,3.51,3.51,3.51,3.51
1641538800,3.52,3.53,3.51,3.52
1641540600,3.52,3.55,3.51,3.55
1641542400,3.55,3.61,3.54,3.6
1641544200,3.6,3.62,3.58,3.6
1641546000,3.59,3.62,3.59,3.61
1641547800,3.62,3.63,3.61,3.63
1641549600,3.63,3.63,3.6,3.61
1641551400,3.61,3.64,3.6,3.64
1641553200,3.64,3.64,3.59,3.61
1641555000,3.6,3.62,3.57,3.62
1641556800,3.62,3.62,3.58,3.58
1641558600,3.58,3.59,3.56,3.58
1641560400,3.57,3.59,3.57,3.59
1641562200,3.59,3.61,3.57,3.61
1641564000,3.6,3.64,3.6,3.64
1641565800,3.64,3.71,3.63,3.7
1641567600,3.71,3.71,3.71,3.71
1641796200,3.76,3.76,3.76,3.76
1641798000,3.76,3.84,3.76,3.81
1641799800,3.81,3.82,3.78,3.78
1641801600,3.78,3.8,3.77,3.78
1641803400,3.79,3.79,3.73,3.74
1641805200,3.74,3.76,3.72,3.76
1641807000,3.76,3.76,3.72,3.72
1641808800,3.72,3.76,3.72,3.76
1641810600,3.76,3.77,3.75,3.77
1641812400,3.77,3.77,3.75,3.76
1641814200,3.76,3.77,3.75,3.77
1641816000,3.77,3.78,3.76,3.76
1641817800,3.77,3.78,3.76,3.77
1641819600,3.77,3.78,3.76,3.76
1641821400,3.77,3.77,3.75,3.76
1641823200,3.76,3.77,3.71,3.72
1641825000,3.72,3.73,3.68,3.7
1641826800,3.7,3.7,3.7,3.7
1641882600,3.74,3.74,3.74,3.74
1641884400,3.74,3.75,3.67,3.69
1641886200,3.69,3.72,3.66,3.7
1641888000,3.71,3.72,3.7,3.72
1641889800,3.71,3.72,3.68,3.68
1641891600,3.68,3.7,3.67,3.69
