Hisse,İlk Tarih,Son Tarih,İşlem Günü,Toplam Gözlem,16-int Gün,5-int Gün,Diğer Gün,Mükerrer,Filtrelenen Müzayede Barı,Sıfır-Range Bar,Sektör
AEFES,2022-01-03,2026-07-27,1140,18127,1123,0,17,0,2267,77,Perakende/Tüketim
AKBNK,2022-01-03,2026-07-27,1140,18128,1124,0,16,0,2267,110,Bankacılık
ASELS,2022-01-03,2026-07-27,1140,18128,1124,0,16,0,2267,34,Sanayi/İmalat
BIMAS,2022-01-03,2026-07-27,1140,18127,1123,0,17,0,2267,40,Perakende/Tüketim
EKGYO,2022-01-03,2026-07-27,1140,18128,1124,0,16,0,2267,84,GYO
ENKAI,2022-01-03,2026-07-27,1140,18127,1123,0,17,0,2267,24,Enerji/Petrokimya
EREGL,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,50,Sanayi/İmalat
FROTO,2022-01-03,2026-07-27,1140,18125,1123,0,17,0,2267,29,Sanayi/İmalat
GARAN,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,121,Bankacılık
GUBRF,2022-01-03,2026-07-27,1138,18095,1120,0,18,0,2262,280,Kimya/Tarım
ISCTR,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,112,Bankacılık
KCHOL,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,57,Holding
KRDMD,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,94,Sanayi/İmalat
MGROS,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,41,Perakende/Tüketim
PETKM,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,49,Enerji/Petrokimya
PGSUS,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,32,Ulaşım
SAHOL,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,29,Holding
SASA,2022-01-03,2026-07-27,1139,18107,1121,0,18,0,2264,184,Kimya/Tarım
SISE,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,47,Cam
TAVHL,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,25,Holding
TCELL,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,50,Teknoloji/Telekom
THYAO,2022-01-03,2026-07-27,1140,18127,1123,0,17,0,2267,41,Ulaşım
TOASO,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,36,Sanayi/İmalat
TRALT,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,92,Teknoloji/Telekom
TTKOM,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,61,Teknoloji/Telekom
TUPRS,2022-01-03,2026-07-27,1140,18127,1123,0,17,0,2267,38,Enerji/Petrokimya
VAKBN,2022-01-03,2026-07-27,1140,18129,1124,0,16,0,2267,220,Bankacılık
YKBNK,2022-01-03,2026-07-27,1140,18128,1123,0,17,0,2267,98,Bankacılık
