Sektör,Lag,γ̄,t-stat,N
Bankacılık,1.0,0.009244880480335718,1.24237513754711,17936.0
Bankacılık,2.0,-0.000200247002218205,-0.02710698836327555,17920.0
Bankacılık,3.0,0.016304692396514546,2.209865775527426,17904.0
Bankacılık,4.0,0.006149657792772948,0.83364678849269,17888.0
Bankacılık,5.0,0.008767803022824242,1.1998683445716545,17872.0
Bankacılık,6.0,0.007293557199590303,0.9821787953456338,17856.0
Bankacılık,7.0,-0.0002816335977447944,-0.037986009013755706,17840.0
Bankacılık,8.0,-0.0010061853812085345,-0.13505072980018643,17824.0
Bankacılık,9.0,0.0030014279402998324,0.404956787713585,17808.0
Bankacılık,10.0,-0.005213050087938807,-0.6824938219528751,17792.0
Bankacılık,11.0,-0.001758462542671515,-0.23859843702535666,17776.0
Bankacılık,12.0,-0.0029642557313118525,-0.41444219584110964,17776.0
Bankacılık,13.0,0.00285303268710404,0.37619072130999026,17760.0
Bankacılık,14.0,0.0048940283771344234,0.652413074822611,17744.0
Bankacılık,15.0,-0.0032211036846185527,-0.44737140688774424,17728.0
Bankacılık,16.0,-0.0005015858407804015,-0.06565193157095386,17712.0
Bankacılık,17.0,0.006154495571683019,0.787580921128039,17696.0
Bankacılık,18.0,-0.0035920135483109156,-0.5031428809476436,17680.0
Bankacılık,19.0,0.010655416636783951,1.3884576350295348,17664.0
Bankacılık,20.0,0.005092325491894168,0.6417317752794666,17648.0
Bankacılık,21.0,-0.0051464034416006405,-0.6982250316698518,17632.0
Bankacılık,22.0,0.0017803965281059395,0.23841268152365594,17616.0
Bankacılık,23.0,-0.0015409134789331328,-0.19760740736729546,17600.0
Bankacılık,24.0,0.0059209257462223145,0.7380290549266421,17584.0
Bankacılık,25.0,-0.004134540908140138,-0.5713354412618872,17568.0
Bankacılık,26.0,-0.007555499714127322,-0.9071851872990659,17552.0
Bankacılık,27.0,-0.0006818601437275686,-0.08465886167410322,17536.0
Bankacılık,28.0,0.002902416046345561,0.36427247434254884,17520.0
Bankacılık,29.0,-0.0008782099905984757,-0.11208190877070455,17504.0
Bankacılık,30.0,0.01703399546884255,2.2922662276321635,17488.0
Bankacılık,31.0,0.010547886461353673,1.3798159572748916,17472.0
Bankacılık,32.0,0.015647772094890808,1.9921107143068635,17456.0
Bankacılık,33.0,-0.011564345765772513,-1.4984671028276022,17440.0
Bankacılık,34.0,0.0009827346492060208,0.12149761845886983,17424.0
Bankacılık,35.0,0.013093164214778248,1.6398396777520168,17408.0
Bankacılık,36.0,0.010630810429192634,1.3800076560709467,17392.0
Bankacılık,37.0,0.009130962329823827,1.1673901343806732,17376.0
Bankacılık,38.0,0.019216868789979982,2.4241055285477326,17360.0
Bankacılık,39.0,0.01332846416092388,1.517719227495223,17344.0
Bankacılık,40.0,0.005695073362365472,0.7142444055700086,17328.0
Holding,1.0,,,0.0
Holding,2.0,,,0.0
Holding,3.0,,,0.0
Holding,4.0,,,0.0
Holding,5.0,,,0.0
Holding,6.0,,,0.0
Holding,7.0,,,0.0
Holding,8.0,,,0.0
Holding,9.0,,,0.0
Holding,10.0,,,0.0
Holding,11.0,,,0.0
Holding,12.0,,,0.0
Holding,13.0,,,0.0
Holding,14.0,,,0.0
Holding,15.0,,,0.0
Holding,16.0,,,0.0
Holding,17.0,,,0.0
Holding,18.0,,,0.0
Holding,19.0,,,0.0
Holding,20.0,,,0.0
Holding,21.0,,,0.0
Holding,22.0,,,0.0
Holding,23.0,,,0.0
Holding,24.0,,,0.0
Holding,25.0,,,0.0
Holding,26.0,,,0.0
Holding,27.0,,,0.0
Holding,28.0,,,0.0
Holding,29.0,,,0.0
Holding,30.0,,,0.0
Holding,31.0,,,0.0
Holding,32.0,,,0.0
Holding,33.0,,,0.0
Holding,34.0,,,0.0
Holding,35.0,,,0.0
Holding,36.0,,,0.0
Holding,37.0,,,0.0
Holding,38.0,,,0.0
Holding,39.0,,,0.0
Holding,40.0,,,0.0
Sanayi/İmalat,1.0,0.01828687215630847,2.441050487531352,17904.0
Sanayi/İmalat,2.0,0.013528209865519928,1.7556818140140709,17888.0
Sanayi/İmalat,3.0,0.007570121718784021,0.956967306220581,17872.0
Sanayi/İmalat,4.0,-0.002730013883350114,-0.3544789709448006,17856.0
Sanayi/İmalat,5.0,-0.01012899437814504,-1.3808000532710452,17840.0
Sanayi/İmalat,6.0,-0.0014509489935480226,-0.1929487322541733,17824.0
Sanayi/İmalat,7.0,0.0026003103850133734,0.3502162892218624,17808.0
Sanayi/İmalat,8.0,-0.006097415397090409,-0.7953646670718071,17792.0
Sanayi/İmalat,9.0,0.001734236698191356,0.22008953785867008,17776.0
Sanayi/İmalat,10.0,0.014069807006369594,1.8082064798112567,17760.0
Sanayi/İmalat,11.0,0.0017482572677118312,0.2340865364394087,17744.0
Sanayi/İmalat,12.0,0.006291129620771285,0.8088103271329237,17744.0
Sanayi/İmalat,13.0,3.3473506229431485e-05,0.004438763534557473,17728.0
Sanayi/İmalat,14.0,0.009348257676294026,1.1663164341911505,17712.0
Sanayi/İmalat,15.0,0.0051283361899372975,0.6627275885032831,17696.0
Sanayi/İmalat,16.0,0.0014263355822904894,0.1765437594603635,17680.0
Sanayi/İmalat,17.0,0.01107257405789338,1.4672446228172638,17664.0
Sanayi/İmalat,18.0,0.011321717394345279,1.3634413633675564,17648.0
Sanayi/İmalat,19.0,0.007578096853016874,0.970922584610392,17632.0
Sanayi/İmalat,20.0,0.008736010475803744,1.1676410380410305,17616.0
Sanayi/İmalat,21.0,-0.009191286503419905,-1.210875818514661,17600.0
Sanayi/İmalat,22.0,-0.0033972233803384847,-0.4157522735048779,17584.0
Sanayi/İmalat,23.0,-0.0013307407548243646,-0.1638895286929229,17568.0
Sanayi/İmalat,24.0,0.005575353717861538,0.721690169334532,17552.0
Sanayi/İmalat,25.0,0.0022091105046990996,0.25535066085363345,17536.0
Sanayi/İmalat,26.0,0.0038865086658307645,0.49324112368341005,17520.0
Sanayi/İmalat,27.0,0.023252973656293186,2.880402152705153,17504.0
Sanayi/İmalat,28.0,0.004572758301938191,0.5241440253732197,17488.0
Sanayi/İmalat,29.0,0.015195266564602461,1.9033027165056378,17472.0
Sanayi/İmalat,30.0,0.00903992901980485,1.1135706859140038,17456.0
Sanayi/İmalat,31.0,-0.0060831126807861366,-0.8083938488676354,17440.0
Sanayi/İmalat,32.0,0.00969563789992851,1.1835044286173408,17424.0
Sanayi/İmalat,33.0,0.012335788021454172,1.5280307255157877,17408.0
Sanayi/İmalat,34.0,-0.007200082130780084,-0.9494256208111582,17392.0
Sanayi/İmalat,35.0,-0.008399703482011018,-1.016151081275769,17376.0
Sanayi/İmalat,36.0,0.004909358573430142,0.5747421359098225,17360.0
Sanayi/İmalat,37.0,-0.0036580131546049065,-0.43002786699453316,17344.0
Sanayi/İmalat,38.0,0.0029374566517067066,0.34811634787981216,17328.0
Sanayi/İmalat,39.0,0.014023297178668761,1.6372561108686199,17312.0
Sanayi/İmalat,40.0,-0.010350052614884253,-1.3188726178041588,17296.0
Enerji/Petrokimya,1.0,,,0.0
Enerji/Petrokimya,2.0,,,0.0
Enerji/Petrokimya,3.0,,,0.0
Enerji/Petrokimya,4.0,,,0.0
Enerji/Petrokimya,5.0,,,0.0
Enerji/Petrokimya,6.0,,,0.0
Enerji/Petrokimya,7.0,,,0.0
Enerji/Petrokimya,8.0,,,0.0
Enerji/Petrokimya,9.0,,,0.0
Enerji/Petrokimya,10.0,,,0.0
Enerji/Petrokimya,11.0,,,0.0
Enerji/Petrokimya,12.0,,,0.0
Enerji/Petrokimya,13.0,,,0.0
Enerji/Petrokimya,14.0,,,0.0
Enerji/Petrokimya,15.0,,,0.0
Enerji/Petrokimya,16.0,,,0.0
Enerji/Petrokimya,17.0,,,0.0
Enerji/Petrokimya,18.0,,,0.0
Enerji/Petrokimya,19.0,,,0.0
Enerji/Petrokimya,20.0,,,0.0
Enerji/Petrokimya,21.0,,,0.0
Enerji/Petrokimya,22.0,,,0.0
Enerji/Petrokimya,23.0,,,0.0
Enerji/Petrokimya,24.0,,,0.0
Enerji/Petrokimya,25.0,,,0.0
Enerji/Petrokimya,26.0,,,0.0
Enerji/Petrokimya,27.0,,,0.0
Enerji/Petrokimya,28.0,,,0.0
Enerji/Petrokimya,29.0,,,0.0
Enerji/Petrokimya,30.0,,,0.0
Enerji/Petrokimya,31.0,,,0.0
Enerji/Petrokimya,32.0,,,0.0
Enerji/Petrokimya,33.0,,,0.0
Enerji/Petrokimya,34.0,,,0.0
Enerji/Petrokimya,35.0,,,0.0
Enerji/Petrokimya,36.0,,,0.0
Enerji/Petrokimya,37.0,,,0.0
Enerji/Petrokimya,38.0,,,0.0
Enerji/Petrokimya,39.0,,,0.0
Enerji/Petrokimya,40.0,,,0.0
Perakende/Tüketim,1.0,,,0.0
Perakende/Tüketim,2.0,,,0.0
Perakende/Tüketim,3.0,,,0.0
Perakende/Tüketim,4.0,,,0.0
Perakende/Tüketim,5.0,,,0.0
Perakende/Tüketim,6.0,,,0.0
Perakende/Tüketim,7.0,,,0.0
Perakende/Tüketim,8.0,,,0.0
Perakende/Tüketim,9.0,,,0.0
Perakende/Tüketim,10.0,,,0.0
Perakende/Tüketim,11.0,,,0.0
Perakende/Tüketim,12.0,,,0.0
Perakende/Tüketim,13.0,,,0.0
Perakende/Tüketim,14.0,,,0.0
Perakende/Tüketim,15.0,,,0.0
Perakende/Tüketim,16.0,,,0.0
Perakende/Tüketim,17.0,,,0.0
Perakende/Tüketim,18.0,,,0.0
Perakende/Tüketim,19.0,,,0.0
Perakende/Tüketim,20.0,,,0.0
Perakende/Tüketim,21.0,,,0.0
Perakende/Tüketim,22.0,,,0.0
Perakende/Tüketim,23.0,,,0.0
Perakende/Tüketim,24.0,,,0.0
Perakende/Tüketim,25.0,,,0.0
Perakende/Tüketim,26.0,,,0.0
Perakende/Tüketim,27.0,,,0.0
Perakende/Tüketim,28.0,,,0.0
Perakende/Tüketim,29.0,,,0.0
Perakende/Tüketim,30.0,,,0.0
Perakende/Tüketim,31.0,,,0.0
Perakende/Tüketim,32.0,,,0.0
Perakende/Tüketim,33.0,,,0.0
Perakende/Tüketim,34.0,,,0.0
Perakende/Tüketim,35.0,,,0.0
Perakende/Tüketim,36.0,,,0.0
Perakende/Tüketim,37.0,,,0.0
Perakende/Tüketim,38.0,,,0.0
Perakende/Tüketim,39.0,,,0.0
Perakende/Tüketim,40.0,,,0.0
Teknoloji/Telekom,1.0,,,0.0
Teknoloji/Telekom,2.0,,,0.0
Teknoloji/Telekom,3.0,,,0.0
Teknoloji/Telekom,4.0,,,0.0
Teknoloji/Telekom,5.0,,,0.0
Teknoloji/Telekom,6.0,,,0.0
Teknoloji/Telekom,7.0,,,0.0
Teknoloji/Telekom,8.0,,,0.0
Teknoloji/Telekom,9.0,,,0.0
Teknoloji/Telekom,10.0,,,0.0
Teknoloji/Telekom,11.0,,,0.0
Teknoloji/Telekom,12.0,,,0.0
Teknoloji/Telekom,13.0,,,0.0
Teknoloji/Telekom,14.0,,,0.0
Teknoloji/Telekom,15.0,,,0.0
Teknoloji/Telekom,16.0,,,0.0
Teknoloji/Telekom,17.0,,,0.0
Teknoloji/Telekom,18.0,,,0.0
Teknoloji/Telekom,19.0,,,0.0
Teknoloji/Telekom,20.0,,,0.0
Teknoloji/Telekom,21.0,,,0.0
Teknoloji/Telekom,22.0,,,0.0
Teknoloji/Telekom,23.0,,,0.0
Teknoloji/Telekom,24.0,,,0.0
Teknoloji/Telekom,25.0,,,0.0
Teknoloji/Telekom,26.0,,,0.0
Teknoloji/Telekom,27.0,,,0.0
Teknoloji/Telekom,28.0,,,0.0
Teknoloji/Telekom,29.0,,,0.0
Teknoloji/Telekom,30.0,,,0.0
Teknoloji/Telekom,31.0,,,0.0
Teknoloji/Telekom,32.0,,,0.0
Teknoloji/Telekom,33.0,,,0.0
Teknoloji/Telekom,34.0,,,0.0
Teknoloji/Telekom,35.0,,,0.0
Teknoloji/Telekom,36.0,,,0.0
Teknoloji/Telekom,37.0,,,0.0
Teknoloji/Telekom,38.0,,,0.0
Teknoloji/Telekom,39.0,,,0.0
Teknoloji/Telekom,40.0,,,0.0
Ulaşım,1.0,,,0.0
Ulaşım,2.0,,,0.0
Ulaşım,3.0,,,0.0
Ulaşım,4.0,,,0.0
Ulaşım,5.0,,,0.0
Ulaşım,6.0,,,0.0
Ulaşım,7.0,,,0.0
Ulaşım,8.0,,,0.0
Ulaşım,9.0,,,0.0
Ulaşım,10.0,,,0.0
Ulaşım,11.0,,,0.0
Ulaşım,12.0,,,0.0
Ulaşım,13.0,,,0.0
Ulaşım,14.0,,,0.0
Ulaşım,15.0,,,0.0
Ulaşım,16.0,,,0.0
Ulaşım,17.0,,,0.0
Ulaşım,18.0,,,0.0
Ulaşım,19.0,,,0.0
Ulaşım,20.0,,,0.0
Ulaşım,21.0,,,0.0
Ulaşım,22.0,,,0.0
Ulaşım,23.0,,,0.0
Ulaşım,24.0,,,0.0
Ulaşım,25.0,,,0.0
Ulaşım,26.0,,,0.0
Ulaşım,27.0,,,0.0
Ulaşım,28.0,,,0.0
Ulaşım,29.0,,,0.0
Ulaşım,30.0,,,0.0
Ulaşım,31.0,,,0.0
Ulaşım,32.0,,,0.0
Ulaşım,33.0,,,0.0
Ulaşım,34.0,,,0.0
Ulaşım,35.0,,,0.0
Ulaşım,36.0,,,0.0
Ulaşım,37.0,,,0.0
Ulaşım,38.0,,,0.0
Ulaşım,39.0,,,0.0
Ulaşım,40.0,,,0.0
Kimya/Tarım,1.0,,,0.0
Kimya/Tarım,2.0,,,0.0
Kimya/Tarım,3.0,,,0.0
Kimya/Tarım,4.0,,,0.0
Kimya/Tarım,5.0,,,0.0
Kimya/Tarım,6.0,,,0.0
Kimya/Tarım,7.0,,,0.0
Kimya/Tarım,8.0,,,0.0
Kimya/Tarım,9.0,,,0.0
Kimya/Tarım,10.0,,,0.0
Kimya/Tarım,11.0,,,0.0
Kimya/Tarım,12.0,,,0.0
Kimya/Tarım,13.0,,,0.0
Kimya/Tarım,14.0,,,0.0
Kimya/Tarım,15.0,,,0.0
Kimya/Tarım,16.0,,,0.0
Kimya/Tarım,17.0,,,0.0
Kimya/Tarım,18.0,,,0.0
Kimya/Tarım,19.0,,,0.0
Kimya/Tarım,20.0,,,0.0
Kimya/Tarım,21.0,,,0.0
Kimya/Tarım,22.0,,,0.0
Kimya/Tarım,23.0,,,0.0
Kimya/Tarım,24.0,,,0.0
Kimya/Tarım,25.0,,,0.0
Kimya/Tarım,26.0,,,0.0
Kimya/Tarım,27.0,,,0.0
Kimya/Tarım,28.0,,,0.0
Kimya/Tarım,29.0,,,0.0
Kimya/Tarım,30.0,,,0.0
Kimya/Tarım,31.0,,,0.0
Kimya/Tarım,32.0,,,0.0
Kimya/Tarım,33.0,,,0.0
Kimya/Tarım,34.0,,,0.0
Kimya/Tarım,35.0,,,0.0
Kimya/Tarım,36.0,,,0.0
Kimya/Tarım,37.0,,,0.0
