Hisse,Sektör,Lag,γ,t-stat,N
AEFES,Perakende/Tüketim,1,0.018370021069091986,1.7380408352815608,17952
AEFES,Perakende/Tüketim,5,-0.013729222598642472,-1.3381581099857776,17888
AEFES,Perakende/Tüketim,10,-0.00016486619777603383,-0.017432790569060296,17808
AEFES,Perakende/Tüketim,20,0.006394215336491742,0.6824094254577807,17648
AKBNK,Bankacılık,1,-0.011606734025811749,-0.9440512622987424,17968
AKBNK,Bankacılık,5,0.010114740534617792,1.0724273863672658,17904
AKBNK,Bankacılık,10,0.010232539827669073,1.1020129255962319,17824
AKBNK,Bankacılık,20,-0.005762470623016835,-0.6311316258752668,17664
ASELS,Sanayi/İmalat,1,-0.019464225441690505,-1.4878959984229185,17968
ASELS,Sanayi/İmalat,5,0.004526586335770993,0.4282171568290666,17904
ASELS,Sanayi/İmalat,10,-0.0011358224514457596,-0.12193805319126004,17824
ASELS,Sanayi/İmalat,20,-0.016123587215933006,-1.578475251702197,17664
BIMAS,Perakende/Tüketim,1,0.0012654207599140925,0.11902575265537138,17952
BIMAS,Perakende/Tüketim,5,-0.0022117911651518968,-0.21466314279884097,17888
BIMAS,Perakende/Tüketim,10,-0.004746841298976346,-0.5183997065247196,17808
BIMAS,Perakende/Tüketim,20,0.006203978653335707,0.6452827365181665,17648
EKGYO,GYO,1,-0.006294507066455719,-0.5767612187540392,17968
EKGYO,GYO,5,0.010743907671963567,1.079365194260053,17904
EKGYO,GYO,10,0.01741566872166199,1.9850640946657816,17824
EKGYO,GYO,20,0.004380056193005081,0.5098970318980466,17664
ENKAI,Enerji/Petrokimya,1,-0.03108716809413698,-2.432170258182081,17952
ENKAI,Enerji/Petrokimya,5,0.011060131707311443,1.0036589736211698,17888
ENKAI,Enerji/Petrokimya,10,0.00492467264857091,0.46965959109996497,17808
ENKAI,Enerji/Petrokimya,20,-0.009713344616700172,-0.9400618098542465,17648
EREGL,Sanayi/İmalat,1,-0.015262396112542593,-1.2059708490054317,17952
EREGL,Sanayi/İmalat,5,0.014215900710510298,1.3155067916793832,17888
EREGL,Sanayi/İmalat,10,-0.0025194822612281506,-0.2720888595997891,17808
EREGL,Sanayi/İmalat,20,0.009937779959551642,1.0294037930484676,17648
FROTO,Sanayi/İmalat,1,-0.01256530284853637,-1.2054498834686067,17952
FROTO,Sanayi/İmalat,5,-0.002255273833472729,-0.2428505101878079,17888
FROTO,Sanayi/İmalat,10,-0.01011224678327515,-1.0265095781650169,17808
FROTO,Sanayi/İmalat,20,-0.006849330009083283,-0.742565956042389,17648
GARAN,Bankacılık,1,-0.006951874544091415,-0.5422023319214727,17968
GARAN,Bankacılık,5,0.013409088095773129,1.2823741752473181,17904
GARAN,Bankacılık,10,0.016786932607804672,1.7224184038340395,17824
GARAN,Bankacılık,20,-0.006033956849049884,-0.6090862870949697,17664
GUBRF,Kimya/Tarım,1,0.008653305316440396,0.685441373915709,17904
GUBRF,Kimya/Tarım,5,-0.0020604585990165957,-0.1792584641471472,17840
GUBRF,Kimya/Tarım,10,0.007287111174984727,0.6856857519472799,17760
GUBRF,Kimya/Tarım,20,0.004353675919959045,0.4332218041776528,17600
ISCTR,Bankacılık,1,-0.027516353556207306,-2.4103523515400767,17968
ISCTR,Bankacılık,5,0.007154145063325081,0.7722697380681567,17904
ISCTR,Bankacılık,10,0.00045129478842713183,0.0469529024834961,17824
ISCTR,Bankacılık,20,-0.0034672361111449165,-0.36744559785566633,17664
KCHOL,Holding,1,-0.01044927403782014,-1.1265135876933687,17952
KCHOL,Holding,5,0.01707450374408623,1.8339088356503352,17888
KCHOL,Holding,10,0.006795812249278172,0.7684012592551885,17808
KCHOL,Holding,20,-0.002909783053734678,-0.33407820696724005,17648
KRDMD,Sanayi/İmalat,1,-0.010095433064433508,-0.8178903795884653,17968
KRDMD,Sanayi/İmalat,5,0.017538861362499224,1.7303841295796467,17904
KRDMD,Sanayi/İmalat,10,0.005978368121956554,0.6541423320324878,17824
KRDMD,Sanayi/İmalat,20,-0.0013204588557809138,-0.13423043518592284,17664
MGROS,Perakende/Tüketim,1,0.010708849279406818,0.819351826398493,17968
MGROS,Perakende/Tüketim,5,0.009469689150529932,0.9392276672123765,17904
MGROS,Perakende/Tüketim,10,-0.002784952502521479,-0.2567820319354503,17824
MGROS,Perakende/Tüketim,20,0.00012605587202393754,0.011035518713047648,17664
PETKM,Enerji/Petrokimya,1,-0.02023228060701603,-1.5876010865577699,17968
PETKM,Enerji/Petrokimya,5,0.010963499872838654,1.0963817522074322,17904
PETKM,Enerji/Petrokimya,10,0.002991283553463923,0.3316352836407968,17824
PETKM,Enerji/Petrokimya,20,-0.0045067380961292414,-0.4837764147769615,17664
PGSUS,Ulaşım,1,-0.018933474889549228,-1.6101123024257822,17968
PGSUS,Ulaşım,5,0.0109139303276408,0.9198667613108754,17904
PGSUS,Ulaşım,10,0.023079705572795383,2.25195272690992,17824
PGSUS,Ulaşım,20,-0.004027057376166453,-0.39859470878981185,17664
SAHOL,Holding,1,-0.0067608055535238664,-0.7713399841055427,17968
SAHOL,Holding,5,0.006873999960879319,0.7929720536256053,17904
SAHOL,Holding,10,0.013473049769669527,1.6004092573573017,17824
SAHOL,Holding,20,-0.00919538028185707,-1.0184771324029191,17664
SASA,Kimya/Tarım,1,0.02630276526419824,1.7413639440042794,17920
SASA,Kimya/Tarım,5,0.03185082533447524,1.8703326684922132,17856
SASA,Kimya/Tarım,10,-0.003995421309510523,-0.3338826876791112,17776
SASA,Kimya/Tarım,20,0.0102464851333175,0.720044300128917,17616
SISE,Cam,1,-0.021087748462561277,-1.9584437392155358,17952
SISE,Cam,5,0.02144048117958781,2.2343778786704642,17888
SISE,Cam,10,0.0024837351201002908,0.2722016785752179,17808
SISE,Cam,20,0.006525498895154762,0.660513441831829,17648
TAVHL,Holding,1,0.002845371359537989,0.28026696425522407,17952
TAVHL,Holding,5,-0.0016630542056052192,-0.16594263339152196,17888
TAVHL,Holding,10,0.0021517345746063067,0.2239817390839761,17808
TAVHL,Holding,20,0.0015790186515845651,0.17196650213950726,17648
TCELL,Teknoloji/Telekom,1,0.0013700760176568224,0.12804577515713955,17968
TCELL,Teknoloji/Telekom,5,0.00171771595302622,0.16708503129568547,17904
TCELL,Teknoloji/Telekom,10,0.001654085579416661,0.17868309608674893,17824
TCELL,Teknoloji/Telekom,20,-0.011145419850080137,-1.246920430300273,17664
THYAO,Ulaşım,1,-0.03631969624980635,-2.908194636550598,17952
THYAO,Ulaşım,5,0.023972086394241626,2.3784366254789444,17888
THYAO,Ulaşım,10,-0.0015211915862990073,-0.146011559773985,17808
THYAO,Ulaşım,20,0.008131446880860161,0.8415280357066085,17648
TOASO,Sanayi/İmalat,1,-0.0016048580323772689,-0.16243764034993044,17952
TOASO,Sanayi/İmalat,5,0.008050315857100216,0.8309173000767641,17888
TOASO,Sanayi/İmalat,10,0.0017125766749104935,0.19103883784809195,17808
TOASO,Sanayi/İmalat,20,-0.020464431328251667,-2.287730949248899,17648
