Fold,IS Başlangıç,IS Bitiş,OOS Başlangıç,OOS Bitiş,Seçilen K,Seçilen N,IS Sharpe,OOS Sharpe
1,2022-01-03,2023-01-06,2023-01-09,2023-04-18,5,3,0.06741204539102257,2.0727524633873142
2,2022-04-01,2023-04-18,2023-04-19,2023-07-26,5,3,0.8825504672656749,2.749852758038844
3,2022-07-05,2023-07-26,2023-07-27,2023-10-26,15,3,1.5453557346340798,1.6048932574971946
4,2022-10-10,2023-10-26,2023-10-27,2024-01-24,12,3,1.4097026425600212,2.046315049798028
5,2023-01-09,2024-01-24,2024-01-25,2024-04-29,12,5,3.0317379631264614,0.5495169110471512
6,2023-04-19,2024-04-29,2024-04-30,2024-08-02,12,3,2.431363059122874,1.32700785133616
7,2023-07-27,2024-08-02,2024-08-05,2024-11-04,15,3,2.0116858766043264,-1.3043788404230776
8,2023-10-27,2024-11-04,2024-11-06,2025-02-03,15,7,1.5048367246373242,2.084191583947223
9,2024-01-25,2025-02-03,2025-02-04,2025-05-07,15,7,1.3244956050917538,0.8477745609372406
10,2024-04-30,2025-05-07,2025-05-08,2025-08-11,3,5,1.853047081725156,0.7763009444546167
11,2024-08-05,2025-08-11,2025-08-12,2025-11-12,3,5,1.1184190834278624,-1.8611166103781447
12,2024-11-06,2025-11-12,2025-11-13,2026-02-10,15,5,1.915507131942552,0.28023698476371195
13,2025-02-04,2026-02-10,2026-02-11,2026-05-14,12,3,1.6832512046680104,0.10139080397374832
